condition,priority,period,input_signals,n,end,cagr,mdd,avg_exposure,max_exposure,max_concurrent,accepted,skipped_position_cap,skipped_theme_cap,confirmation_adds,turnover_nav
MC20_UP1_SEC60,RSI,DISCOVERY,233,1511,1.0788594100714417,0.012751320091849871,-0.021557584267806296,0.018430877926674406,0.06202388774948924,1,47,186,0,0,2.806216236453512
MC20_UP1_SEC60,SECTOR,DISCOVERY,233,1511,1.0821405105532864,0.013264821920399683,-0.025728285060518274,0.018388742054434058,0.06202388774948922,1,47,186,0,0,2.809609223539282
MC20_UP1_SEC70,RS189,DISCOVERY,181,1511,1.1032645068117248,0.01654008041220778,-0.02788848595061577,0.016068697979441274,0.10671715492064981,1,41,140,0,0,2.4817449605921857
MC20_UP1_SEC70,RSI,DISCOVERY,181,1511,1.0314019212882068,0.0051746405384456295,-0.021557584267805963,0.01585372531776376,0.04694158007986271,1,41,140,0,0,2.412736229496116
MC20_UP1_SEC70,SECTOR,DISCOVERY,181,1511,1.032178248690307,0.0053008978019746245,-0.025728285060518385,0.015784714157515152,0.046941580079862724,1,41,140,0,0,2.414029533226578
MC20_50_SEC60,RS189,DISCOVERY,196,1511,0.9648217215033001,-0.005960248281664304,-0.04881371673071089,0.0097177002700018,0.03697192713003147,1,26,170,0,0,1.473228416373788
MC20_50_SEC60,RSI,DISCOVERY,196,1511,0.9742818025216065,-0.004339861189970207,-0.034074825943322895,0.009812268460853535,0.035811120183687865,1,26,170,0,0,1.4843833569724512
MC20_50_SEC60,SECTOR,DISCOVERY,196,1511,0.9592447726749336,-0.006921717575936515,-0.04396676513330655,0.009617403994892842,0.03320603523424194,1,26,170,0,0,1.4682753129243808
BASE,RS189,CONFIRM,1414,1126,1.0800808037095588,0.01731523444379457,-0.0254418337823602,0.026545931590405657,0.05731640308110365,1,51,1363,0,0,3.0348995109740904
BASE,RSI,CONFIRM,1414,1126,1.0807787050129891,0.017461683523834814,-0.02164509010001414,0.026746600757078614,0.057316403081103647,1,51,1363,0,0,3.034771005008512
BASE,SECTOR,CONFIRM,1414,1126,1.0830568225063892,0.017939217569567623,-0.025441833782360423,0.026733722128671613,0.05731640308110363,1,51,1363,0,0,3.037204821135194
MC20_UP1,RS189,CONFIRM,445,1126,1.1219247566011847,0.025968799724503056,-0.019221197704342052,0.02205895565194081,0.05731640308110364,1,41,404,0,0,2.5051818302745055
MC20_UP1,RSI,CONFIRM,445,1126,1.0805083808144706,0.017404966847197834,-0.018225314996339503,0.021509277867906754,0.05731640308110364,1,41,404,0,0,2.4617364714447594
MC20_UP1,SECTOR,CONFIRM,445,1126,1.084188667449921,0.01817618224302575,-0.01922119770434194,0.02154123124002979,0.05731640308110365,1,41,404,0,0,2.4672168543091884
MC20_UP1_SEC50,RS189,CONFIRM,203,1126,1.077599667686922,0.016793991429106425,-0.01729543121576238,0.019737606254383186,0.047863283727277606,1,37,166,0,0,2.2272918777494257
MC20_UP1_SEC50,RSI,CONFIRM,203,1126,1.054399504023773,0.01187434701924528,-0.012444887085400147,0.019346623774122232,0.04191224874629861,1,37,166,0,0,2.2042085181041347
MC20_UP1_SEC50,SECTOR,CONFIRM,203,1126,1.0350839260199751,0.00771384525807739,-0.023217627707043276,0.019313793496907285,0.04191224874629861,1,37,166,0,0,2.184463208922041
MC20_UP1_SEC60,RS189,CONFIRM,166,1126,1.0545677179602062,0.011910318540029996,-0.012860969406551459,0.017930744001388957,0.04786328372727759,1,34,132,0,0,2.030775080639632
MC20_UP1_SEC60,RSI,CONFIRM,166,1126,1.0505121577803895,0.011041816702425988,-0.01286096940655157,0.017800665130391195,0.040555361860403524,1,34,132,0,0,2.0268863114766584
MC20_UP1_SEC60,SECTOR,CONFIRM,166,1126,1.02614765160784,0.005768563617057909,-0.017438095595822323,0.017694122154376452,0.040555361860403524,1,34,132,0,0,2.0019918809828763
MC20_UP1_SEC70,RS189,CONFIRM,108,1126,1.0773118386499776,0.016733463256794145,-0.013273191822922858,0.01654484455856525,0.04786328372727759,1,30,78,0,0,1.818880596630515
MC20_UP1_SEC70,RSI,CONFIRM,108,1126,1.060139745349912,0.013099350023176193,-0.013273191822923192,0.016335984662003384,0.04762255590411489,1,30,78,0,0,1.8026335667811064
MC20_UP1_SEC70,SECTOR,CONFIRM,108,1126,1.0482788297543104,0.01056243442262117,-0.013273191822922858,0.01630822271155274,0.04762255590411489,1,30,78,0,0,1.7910395704643232
MC20_50_SEC60,RS189,CONFIRM,159,1126,1.0176803456288988,0.0039131834392154285,-0.028411140535421597,0.01430375552537178,0.052278096976805244,1,27,132,0,0,1.5810603716158071
MC20_50_SEC60,RSI,CONFIRM,159,1126,0.9977169796329052,-0.0005092109870324935,-0.028411140535421597,0.01412672614514434,0.04020648593162192,1,27,132,0,0,1.5644577004505182
MC20_50_SEC60,SECTOR,CONFIRM,159,1126,1.0176803456288988,0.0039131834392154285,-0.028411140535421597,0.01430375552537178,0.052278096976805244,1,27,132,0,0,1.5810603716158071
