etf,holding_rank,holding_weight_pct,symbol,name,group,group_sector,group_phase,group_rank,group_score,group_pioneer_score,group_breadth_score,stock_rank_within_group,role,strength,rs189,rs63,rs21,acceleration,slow_acceleration,breakout_status
IGV,17,1.35,ROP,"Roper Technologies, Inc.",Diversified Operations,Producer Manufacturing,LOSING,101,43.8,50.0,34.6,3,FOLLOWER,53.5,28.5,85.5,73.2,-12.4,57.0,BREAKOUT_WATCH
IGV,18,1.27,WDAY,"Workday, Inc. Class A",Comp Sftwr - Enterprise,Technology Services,EMERGING,1,72.4,84.1,54.9,33,FOLLOWER,55.8,23.9,87.3,90.9,3.6,63.4,NONE
IGV,19,1.21,TTWO,"Take-Two Interactive Software, Inc.",Computer Sftwr-Gaming,Technology Services,LOSING,111,40.1,47.0,29.8,5,FOLLOWER,26.2,22.0,32.8,12.5,-20.3,10.8,NONE
IGV,20,0.98,TEAM,Atlassian Corp Class A,Comp Sftwr - Enterprise,Technology Services,EMERGING,1,72.4,84.1,54.9,3,LEADER,91.4,70.7,98.0,99.5,1.5,27.3,BREAKOUT_WATCH
IGV,21,0.84,FICO,Fair Isaac Corporation,Comp Sftwr - Financial,Technology Services,LOSING,77,51.4,56.9,43.2,21,FOLLOWER,22.6,6.4,21.5,56.7,35.2,15.1,NONE
IGV,22,0.81,ZM,"Zoom Communications, Inc. Class A",Computer Sftwr-Enterprse,Technology Services,LOSING,47,61.8,66.8,54.4,3,FOLLOWER,40.5,53.9,17.7,50.3,32.6,-36.3,NONE
IGV,23,0.61,ZS,"Zscaler, Inc.",Computer Sftwr-Security,Technology Services,EMERGING,9,70.2,78.1,58.4,16,FOLLOWER,50.7,11.0,82.8,91.9,9.1,71.8,BREAKOUT_WATCH
IGV,24,0.58,NTNX,"Nutanix, Inc. Class A",Comp Sftwr - Enterprise,Technology Services,EMERGING,1,72.4,84.1,54.9,17,FOLLOWER,75.4,78.5,84.4,85.3,0.9,5.9,NONE
IGV,25,0.57,PTC,PTC Inc.,Computer Sftwr-Design,Technology Services,LOSING,50,58.1,66.4,45.7,3,FOLLOWER,45.1,21.5,59.0,81.8,22.8,37.5,NONE
IGV,26,0.55,GWRE,"Guidewire Software, Inc.",Comp Sftwr - Financial,Technology Services,LOSING,77,51.4,56.9,43.2,7,FOLLOWER,57.1,28.5,81.1,95.6,14.4,52.6,BREAKOUT_WATCH
IGV,27,0.54,GEN,Gen Digital Inc.,Computer Sftwr-Security,Technology Services,EMERGING,9,70.2,78.1,58.4,10,FOLLOWER,70.9,59.6,68.8,81.7,12.8,9.3,BREAKOUT_WATCH
IGV,28,0.51,DT,"Dynatrace, Inc.",Comp Sftwr - Enterprise,Technology Services,EMERGING,1,72.4,84.1,54.9,13,PIONEER,78.3,63.2,84.5,91.0,6.5,21.2,BREAKOUT_WATCH
IGV,29,0.5,TYL,"Tyler Technologies, Inc.",Comp Sftwr - Specialty Enterprise,Technology Services,LOSING,40,55.6,69.4,34.8,9,FOLLOWER,49.4,13.8,70.3,88.7,18.5,56.5,NONE
IGV,30,0.48,IOT,"Samsara, Inc. Class A",Comp Sftwr - Enterprise,Technology Services,EMERGING,1,72.4,84.1,54.9,32,FOLLOWER,57.2,47.0,55.9,76.1,20.2,8.9,NONE
IGV,31,0.47,RBRK,"Rubrik, Inc. Class A",Computer Sftwr-Security,Technology Services,EMERGING,9,70.2,78.1,58.4,11,FOLLOWER,70.3,74.5,63.2,93.3,30.1,-11.3,NONE
IGV,32,0.47,U,"Unity Software, Inc.",Computer Sftwr-Design,Technology Services,LOSING,50,58.1,66.4,45.7,1,FOLLOWER,63.9,32.4,90.6,94.8,4.2,58.2,NONE
IGV,33,0.46,BMNR,BitMine Immersion Technologies Inc,Financial Svcs-Specialty,Finance,LOSING,75,54.0,57.3,49.0,15,FOLLOWER,55.5,13.8,92.0,98.1,6.1,78.2,NONE
IGV,34,0.44,TRMB,Trimble Inc.,Computer Sftwr-Design,Technology Services,LOSING,50,58.1,66.4,45.7,8,FOLLOWER,37.7,10.5,49.8,67.7,17.9,39.3,NONE
IGV,35,0.42,HUBS,"HubSpot, Inc.",Comp Sftwr - Enterprise,Technology Services,EMERGING,1,72.4,84.1,54.9,56,FOLLOWER,32.6,9.8,38.1,77.0,38.9,28.3,BREAKOUT_WATCH
IGV,36,0.42,MANH,"Manhattan Associates, Inc.",Comp Sftwr - Enterprise,Technology Services,EMERGING,1,72.4,84.1,54.9,12,LEADER,79.3,66.1,93.3,85.8,-7.5,27.2,NONE
IGV,37,0.41,DOCU,"DocuSign, Inc.",Comp Sftwr - Enterprise,Technology Services,EMERGING,1,72.4,84.1,54.9,34,FOLLOWER,54.8,29.0,76.6,89.4,12.8,47.6,BREAKOUT_NOW
IGV,38,0.28,ESTC,Elastic NV,Computer Sftwr-Database,Technology Services,EMERGING,4,73.0,80.2,62.2,2,LEADER,88.9,77.0,94.4,98.3,3.9,17.4,NONE
IGV,39,0.27,IDCC,"InterDigital, Inc.",Elec-Misc Products,Electronic Technology,LOSING,129,38.4,42.5,32.3,2,FOLLOWER,59.8,26.2,90.2,76.6,-13.6,64.0,NONE
IGV,40,0.25,PATH,"UiPath, Inc. Class A",Comp Sftwr - Enterprise,Technology Services,EMERGING,1,72.4,84.1,54.9,7,LEADER,85.3,75.2,94.3,98.0,3.7,19.1,BREAKOUT_NOW
IGV,41,0.25,HUT,Hut 8 Corp.,Finance - Crypto/Blockchain,Technology Services,LOSING,57,49.6,65.4,25.9,10,FOLLOWER,35.1,92.8,3.7,1.4,-2.4,-89.1,NONE
IGV,42,0.23,S,"SentinelOne, Inc. Class A",Computer Sftwr-Security,Technology Services,EMERGING,9,70.2,78.1,58.4,8,LEADER,78.5,76.3,86.0,84.9,-1.1,9.7,NONE
IGV,43,0.23,PCOR,Procore Technologies Inc,Comp Sftwr - Specialty Enterprise,Technology Services,LOSING,40,55.6,69.4,34.8,10,FOLLOWER,46.6,17.2,71.6,83.2,11.6,54.4,NONE
IGV,44,0.22,AUR,"Aurora Innovation, Inc. Class A",Auto/Truck Equipment Parts & Tires,Producer Manufacturing,LOSING,94,41.1,51.4,25.5,18,FOLLOWER,33.1,76.7,8.9,8.3,-0.6,-67.8,NONE
IGV,45,0.22,DSGX,Descartes Systems Group Inc.,Comp Sftwr - Specialty Enterprise,Technology Services,LOSING,40,55.6,69.4,34.8,11,FOLLOWER,45.1,31.1,43.7,70.9,27.2,12.5,NONE
IGV,46,0.21,GTLB,"Gitlab, Inc. Class A",Computer-Tech Services,Technology Services,LOSING,26,62.4,77.8,39.3,6,FOLLOWER,75.6,54.2,93.1,95.6,2.5,39.0,BREAKOUT_RECENT
IGV,47,0.21,QLYS,"Qualys, Inc.",Computer Sftwr-Security,Technology Services,EMERGING,9,70.2,78.1,58.4,6,LEADER,81.6,70.9,97.8,93.3,-4.4,26.8,NONE
IGV,48,0.2,ZETA,Zeta Global Holdings Corp. Class A,Computer Sftwr-Database,Technology Services,EMERGING,4,73.0,80.2,62.2,1,PIONEER,92.5,90.1,84.5,97.5,13.0,-5.5,BREAKOUT_RECENT
IGV,49,0.2,QBTS,D-Wave Quantum Inc.,Comp Sftwr - Enterprise,Technology Services,EMERGING,1,72.4,84.1,54.9,65,FOLLOWER,12.0,12.1,3.5,23.6,20.0,-8.6,NONE
IGV,50,0.19,RIOT,"Riot Platforms, Inc.",Finance - Crypto/Blockchain,Technology Services,LOSING,57,49.6,65.4,25.9,12,FOLLOWER,30.3,66.3,6.2,20.7,14.5,-60.2,NONE
IGV,51,0.19,WULF,TeraWulf Inc.,Financial Svcs-Specialty,Finance,LOSING,75,54.0,57.3,49.0,35,FOLLOWER,16.9,36.7,3.6,6.8,3.2,-33.1,NONE
IGV,52,0.19,OTEX,Open Text Corporation,Computer Sftwr-Database,Technology Services,EMERGING,4,73.0,80.2,62.2,12,FOLLOWER,24.6,11.7,37.5,37.3,-0.2,25.9,NONE
IGV,53,0.19,SNAP,"Snap, Inc. Class A",Internet-Content,Technology Services,LOSING,116,38.4,45.5,27.6,15,FOLLOWER,32.9,10.1,29.1,87.5,58.3,19.0,NONE
IGV,54,0.18,TTAN,"ServiceTitan, Inc. Class A",Comp Sftwr - Specialty Enterprise,Technology Services,LOSING,40,55.6,69.4,34.8,2,FOLLOWER,63.8,48.5,87.8,87.3,-0.5,39.3,NONE
IGV,55,0.18,CVLT,"Commvault Systems, Inc.",Computer Sftwr-Database,Technology Services,EMERGING,4,73.0,80.2,62.2,9,FOLLOWER,59.8,50.0,69.2,85.8,16.7,19.1,NONE
IGV,56,0.18,APPF,AppFolio Inc Class A,Comp Sftwr - Specialty Enterprise,Technology Services,LOSING,40,55.6,69.4,34.8,4,FOLLOWER,63.2,38.2,90.5,93.9,3.4,52.2,BREAKOUT_WATCH
IGV,57,0.17,CRCL,"Circle Internet Group, Inc. Class A",Financial Svcs-Specialty,Finance,LOSING,75,54.0,57.3,49.0,16,FOLLOWER,55.2,71.1,23.7,98.6,74.9,-47.4,BREAKOUT_WATCH
IGV,58,0.17,BSY,"Bentley Systems, Incorporated Class B",Computer Sftwr-Design,Technology Services,LOSING,50,58.1,66.4,45.7,7,FOLLOWER,38.3,21.6,52.8,61.6,8.8,31.2,NONE
IGV,59,0.17,ACIW,"ACI Worldwide, Inc.",Comp Sftwr - Financial,Technology Services,LOSING,77,51.4,56.9,43.2,8,FOLLOWER,57.0,52.7,79.5,17.6,-61.9,26.8,NONE
IGV,60,0.17,DBX,"Dropbox, Inc. Class A",Computer Sftwr-Database,Technology Services,EMERGING,4,73.0,80.2,62.2,6,FOLLOWER,71.8,58.2,83.6,72.4,-11.2,25.4,NONE
IGV,61,0.16,CORZ,Core Scientific Inc,Finance - Crypto/Blockchain,Technology Services,LOSING,57,49.6,65.4,25.9,25,FOLLOWER,15.6,34.5,3.0,2.9,-0.1,-31.5,NONE
IGV,62,0.16,RNG,"RingCentral, Inc. Class A",Comp Sftwr - Enterprise,Technology Services,EMERGING,1,72.4,84.1,54.9,2,LEADER,92.5,97.5,94.2,92.2,-2.0,-3.2,BREAKOUT_WATCH
IGV,63,0.16,VRNS,"Varonis Systems, Inc.",Computer Sftwr-Database,Technology Services,EMERGING,4,73.0,80.2,62.2,7,FOLLOWER,68.6,73.8,83.1,76.0,-7.1,9.3,NONE
IGV,64,0.16,BOX,"Box, Inc. Class A",Computer Sftwr-Database,Technology Services,EMERGING,4,73.0,80.2,62.2,3,LEADER,80.0,60.2,86.2,81.7,-4.5,26.0,BREAKOUT_WATCH
IGV,65,0.15,CIFR,Cipher Digital Inc.,Finance - Crypto/Blockchain,Technology Services,LOSING,57,49.6,65.4,25.9,28,FOLLOWER,8.1,14.2,5.2,0.9,-4.3,-9.0,NONE
IGV,66,0.14,BB,BlackBerry Limited,Computer Sftwr-Security,Technology Services,EMERGING,9,70.2,78.1,58.4,18,FOLLOWER,45.9,94.8,14.8,26.4,11.6,-80.0,NONE
IGV,67,0.14,BILL,"BILL Holdings, Inc.",Comp Sftwr - Financial,Technology Services,LOSING,77,51.4,56.9,43.2,3,FOLLOWER,65.1,32.7,86.7,74.7,-12.0,54.0,NONE
IGV,68,0.13,TENB,"Tenable Holdings, Inc.",Computer Sftwr-Security,Technology Services,EMERGING,9,70.2,78.1,58.4,4,LEADER,84.3,80.4,90.2,85.9,-4.3,9.8,NONE
IGV,69,0.13,WK,Workiva Inc. Class A,Computer Sftwr-Database,Technology Services,EMERGING,4,73.0,80.2,62.2,8,FOLLOWER,60.3,18.5,96.0,95.2,-0.8,77.5,BREAKOUT_RECENT
IGV,70,0.13,MARA,"MARA Holdings, Inc.",Finance - Crypto/Blockchain,Technology Services,LOSING,57,49.6,65.4,25.9,21,FOLLOWER,19.0,29.8,8.1,23.7,15.6,-21.8,NONE
IGV,71,0.13,QTWO,"Q2 Holdings, Inc.",Comp Sftwr - Financial,Technology Services,LOSING,77,51.4,56.9,43.2,10,FOLLOWER,52.1,22.6,85.6,69.9,-15.7,63.0,NONE
IGV,72,0.13,YOU,"Clear Secure, Inc. Class A",Security/Sfty,Electronic Technology,LOSING,65,51.5,62.3,35.3,14,FOLLOWER,33.8,65.6,10.2,3.5,-6.7,-55.4,NONE
IGV,73,0.13,CCC,CCC Intelligent Solutions Holdings Inc,Comp Sftwr - Specialty Enterprise,Technology Services,LOSING,40,55.6,69.4,34.8,5,FOLLOWER,61.6,36.5,94.9,90.5,-4.4,58.4,NONE
IGV,74,0.12,DLB,"Dolby Laboratories, Inc. Class A",Elec-Misc Products,Electronic Technology,LOSING,129,38.4,42.5,32.3,7,FOLLOWER,47.7,26.5,65.1,65.9,0.8,38.6,NONE
IGV,75,0.11,LIF,"Life360, Inc.",Computer Sftwr-Security,Technology Services,EMERGING,9,70.2,78.1,58.4,24,FOLLOWER,15.6,3.9,21.1,3.1,-18.0,17.2,NONE
IGV,76,0.11,BRZE,"Braze, Inc. Class A",Comp Sftwr - Enterprise,Technology Services,EMERGING,1,72.4,84.1,54.9,19,PIONEER,74.6,60.0,82.2,96.0,13.8,22.2,NONE
IGV,77,0.1,PEGA,Pegasystems Inc.,Comp Sftwr - Financial,Technology Services,LOSING,77,51.4,56.9,43.2,16,FOLLOWER,36.3,8.0,33.8,89.3,55.5,25.7,BREAKOUT_RECENT
IGV,78,0.1,SPSC,"SPS Commerce, Inc.",Comp Sftwr - Specialty Enterprise,Technology Services,LOSING,40,55.6,69.4,34.8,3,FOLLOWER,63.7,40.1,94.4,85.5,-8.9,54.3,BREAKOUT_WATCH
IGV,79,0.09,CLSK,"Cleanspark, Inc.",Finance - Crypto/Blockchain,Technology Services,LOSING,57,49.6,65.4,25.9,26,FOLLOWER,10.3,18.3,4.5,5.8,1.3,-13.8,NONE
IGV,80,0.09,AGYS,"Agilysys, Inc.",Computer-Tech Services,Technology Services,LOSING,26,62.4,77.8,39.3,16,FOLLOWER,56.8,25.0,86.4,77.6,-8.7,61.4,NONE
IGV,81,0.09,FRSH,"Freshworks, Inc. Class A",Comp Sftwr - Enterprise,Technology Services,EMERGING,1,72.4,84.1,54.9,15,LEADER,78.1,55.6,90.3,90.5,0.2,34.7,BREAKOUT_WATCH
IGV,82,0.09,ALRM,"Alarm.com Holdings, Inc.",Security/Sfty,Electronic Technology,LOSING,65,51.5,62.3,35.3,3,FOLLOWER,69.9,49.8,87.5,65.5,-21.9,37.7,BREAKOUT_WATCH
IGV,83,0.09,KVYO,"Klaviyo, Inc. Class A",Comp Sftwr - Enterprise,Technology Services,EMERGING,1,72.4,84.1,54.9,44,FOLLOWER,44.2,9.8,68.6,84.2,15.6,58.8,BREAKOUT_RECENT
IGV,84,0.09,SOUN,"SoundHound AI, Inc Class A",Computer-Tech Services,Technology Services,LOSING,26,62.4,77.8,39.3,39,FOLLOWER,25.0,5.6,10.4,85.9,75.5,4.8,NONE
IGV,85,0.09,ADEA,Adeia Inc.,Internet-Content,Technology Services,LOSING,116,38.4,45.5,27.6,11,FOLLOWER,45.7,95.4,20.0,22.7,2.7,-75.4,NONE
IGV,86,0.09,TDC,Teradata Corporation,Computer Sftwr-Database,Technology Services,EMERGING,4,73.0,80.2,62.2,14,FOLLOWER,23.8,38.1,11.0,19.2,8.2,-27.1,NONE
IGV,87,0.08,FIVN,"Five9, Inc.",Comp Sftwr - Enterprise,Technology Services,EMERGING,1,72.4,84.1,54.9,4,LEADER,88.5,91.2,91.2,92.3,1.1,-0.1,NONE
IGV,88,0.08,RAMP,"LiveRamp Holdings, Inc.",Computer-Tech Services,Technology Services,LOSING,26,62.4,77.8,39.3,13,FOLLOWER,58.2,70.0,40.1,42.7,2.5,-29.9,BREAKOUT_WATCH
IGV,89,0.07,INTA,"Intapp, Inc.",Comp Sftwr - Financial,Technology Services,LOSING,77,51.4,56.9,43.2,2,FOLLOWER,72.1,36.3,97.9,94.8,-3.2,61.6,NONE
IGV,90,0.07,NCNO,nCino Inc,Comp Sftwr - Financial,Technology Services,LOSING,77,51.4,56.9,43.2,5,FOLLOWER,58.3,23.9,91.0,90.5,-0.5,67.1,NONE
IGV,91,0.06,PRGS,Progress Software Corporation,Comp Sftwr - Enterprise,Technology Services,EMERGING,1,72.4,84.1,54.9,18,FOLLOWER,74.7,51.0,90.7,82.5,-8.2,39.7,BREAKOUT_NOW
IGV,92,0.06,AVPT,"AvePoint, Inc. Class A",Computer Sftwr-Database,Technology Services,EMERGING,4,73.0,80.2,62.2,10,FOLLOWER,58.3,45.4,82.7,69.8,-12.8,37.3,NONE
IGV,93,0.06,ATEN,"A10 Networks, Inc.",Internet-Network Sltns,Technology Services,LOSING,152,29.7,35.9,20.4,4,FOLLOWER,35.0,83.0,12.4,7.2,-5.2,-70.6,NONE
IGV,94,0.05,APPN,Appian Corporation Class A,Comp Sftwr - Enterprise,Technology Services,EMERGING,1,72.4,84.1,54.9,23,FOLLOWER,73.0,41.3,96.6,99.0,2.5,55.3,BREAKOUT_WATCH
IGV,95,0.05,BLKB,"Blackbaud, Inc.",Comp Sftwr - Specialty Enterprise,Technology Services,LOSING,40,55.6,69.4,34.8,7,FOLLOWER,53.1,17.0,95.2,79.9,-15.3,78.2,NONE
IGV,96,0.05,ALKT,Alkami Technology Inc,Comp Sftwr - Financial,Technology Services,LOSING,77,51.4,56.9,43.2,11,FOLLOWER,49.0,30.2,59.6,79.9,20.3,29.4,NONE
IGV,97,0.05,BL,"BlackLine, Inc.",Comp Sftwr - Financial,Technology Services,LOSING,77,51.4,56.9,43.2,15,FOLLOWER,36.4,4.7,56.1,67.3,11.2,51.4,NONE
IGV,98,0.05,NN,NextNav Inc.,Consumer Prod-Electronic,Consumer Durables,LOSING,121,39.9,43.3,34.9,2,FOLLOWER,42.7,52.5,11.6,89.6,78.0,-40.9,NONE
IGV,99,0.04,AI,"C3.ai, Inc. Class A",Comp Sftwr - Enterprise,Technology Services,EMERGING,1,72.4,84.1,54.9,55,FOLLOWER,33.2,11.9,24.9,87.0,62.1,13.0,BREAKOUT_NOW
IGV,100,0.04,LSPD,Lightspeed Commerce Inc,Comp Sftwr - Enterprise,Technology Services,EMERGING,1,72.4,84.1,54.9,47,FOLLOWER,43.2,27.1,57.2,63.0,5.8,30.1,NONE
IGV,101,0.04,VYX,NCR Voyix Corporation,Computer-Tech Services,Technology Services,LOSING,26,62.4,77.8,39.3,26,FOLLOWER,40.2,16.2,68.2,53.3,-14.8,51.9,NONE
IGV,102,0.03,PD,"PagerDuty, Inc.",Comp Sftwr - Enterprise,Technology Services,EMERGING,1,72.4,84.1,54.9,22,FOLLOWER,73.9,61.1,91.3,95.2,3.8,30.2,BREAKOUT_WATCH
IGV,103,0.03,VERX,"Vertex, Inc. Class A",Comp Sftwr - Financial,Technology Services,LOSING,77,51.4,56.9,43.2,18,FOLLOWER,31.1,9.9,28.9,76.2,47.3,19.0,NONE
IGV,104,0.03,ASAN,"Asana, Inc. Class A",Comp Sftwr - Enterprise,Technology Services,EMERGING,1,72.4,84.1,54.9,42,FOLLOWER,48.4,15.2,70.7,91.0,20.3,55.5,NONE
IGV,105,0.03,CXM,"Sprinklr, Inc. Class A",Comp Sftwr - Enterprise,Technology Services,EMERGING,1,72.4,84.1,54.9,16,FOLLOWER,75.9,52.8,92.9,93.6,0.8,40.0,BREAKOUT_RECENT
IGV,106,0.02,AIP,"Arteris, Inc.",Elec-Semicondctor Fablss,Electronic Technology,LOSING,45,49.9,67.6,23.2,22,FOLLOWER,34.6,86.3,4.2,1.4,-2.8,-82.0,NONE
OIH,1,,SLB,SLB Limited,Oil&Gas-Field Services,Industrial Services,LOSING,63,55.8,64.4,43.0,4,LEADER,83.8,90.4,65.0,89.7,24.7,-25.4,NONE
OIH,2,,BKR,Baker Hughes Company Class A,Oil&Gas-Machinery/Equip,Industrial Services,LOSING,76,53.8,56.9,49.1,7,FOLLOWER,60.6,69.1,45.3,66.3,21.0,-23.8,NONE
OIH,3,,FTI,TechnipFMC plc,Oil&Gas-Machinery/Equip,Industrial Services,LOSING,76,53.8,56.9,49.1,3,LEADER,77.8,90.8,73.1,74.8,1.7,-17.7,NONE
OIH,4,,HAL,Halliburton Company,Oil&Gas-Field Services,Industrial Services,LOSING,63,55.8,64.4,43.0,9,FOLLOWER,60.9,80.4,27.8,82.9,55.1,-52.6,BREAKOUT_NOW
OIH,5,,TS,Tenaris S.A. Sponsored ADR,Steel-Specialty Alloys,Non-Energy Minerals,LOSING,142,34.4,38.4,28.5,3,FOLLOWER,45.7,79.1,21.4,33.2,11.8,-57.6,NONE
OIH,6,,RIG,Transocean Ltd.,Oil&Gas-Drilling,Industrial Services,LOSING,33,66.0,71.3,58.1,8,FOLLOWER,50.5,73.7,26.2,75.0,48.8,-47.5,NONE
OIH,7,,WFRD,Weatherford International plc,Oil&Gas-Machinery/Equip,Industrial Services,LOSING,76,53.8,56.9,49.1,8,FOLLOWER,59.3,74.4,30.3,79.0,48.7,-44.1,BREAKOUT_NOW
OIH,8,,NE,Noble Corporation PLC Class A,Oil&Gas-Drilling,Industrial Services,LOSING,33,66.0,71.3,58.1,6,FOLLOWER,59.2,85.4,35.5,72.4,36.9,-49.9,NONE
OIH,9,,NOV,NOV Inc.,Oil&Gas-Machinery/Equip,Industrial Services,LOSING,76,53.8,56.9,49.1,4,FOLLOWER,71.8,79.6,58.0,76.0,18.0,-21.6,NONE
OIH,10,,OII,"Oceaneering International, Inc.",Oil&Gas-Field Services,Industrial Services,LOSING,63,55.8,64.4,43.0,2,LEADER,86.8,95.9,93.2,68.2,-25.0,-2.7,NONE
OIH,11,,PTEN,"Patterson-UTI Energy, Inc.",Oil&Gas-Drilling,Industrial Services,LOSING,33,66.0,71.3,58.1,1,LEADER,82.8,97.0,63.7,89.1,25.4,-33.3,BREAKOUT_NOW
OIH,12,,WHD,"Cactus, Inc. Class A",Oil&Gas-Machinery/Equip,Industrial Services,LOSING,76,53.8,56.9,49.1,2,LEADER,85.4,89.5,83.3,73.3,-10.0,-6.2,NONE
OIH,13,,VAL,Valaris Ltd.,Oil&Gas-Drilling,Industrial Services,LOSING,33,66.0,71.3,58.1,7,FOLLOWER,54.3,84.8,25.4,74.6,49.2,-59.3,NONE
OIH,14,,HP,"Helmerich & Payne, Inc.",Oil&Gas-Drilling,Industrial Services,LOSING,33,66.0,71.3,58.1,2,LEADER,80.4,86.8,67.8,92.7,24.9,-19.0,NONE
OIH,15,,SEI,"Solaris Energy Infrastructure, Inc. Class A",Electrical-Power/Equipmt,Producer Manufacturing,LOSING,140,30.9,38.6,19.3,15,FOLLOWER,28.6,47.3,8.5,38.9,30.4,-38.8,NONE
OIH,16,,TDW,Tidewater Inc,Oil&Gas-Field Services,Industrial Services,LOSING,63,55.8,64.4,43.0,3,LEADER,85.9,91.2,87.0,91.6,4.6,-4.3,NONE
OIH,17,,LBRT,"Liberty Energy, Inc. Class A",Oil&Gas-Field Services,Industrial Services,LOSING,63,55.8,64.4,43.0,19,FOLLOWER,36.0,51.1,6.3,66.0,59.7,-44.8,NONE
OIH,18,,WTTR,"Select Water Solutions, Inc. Class A",Utility-Water Supply,Utilities,LOSING,64,59.6,62.9,54.7,1,FOLLOWER,74.4,94.5,56.9,67.0,10.1,-37.7,NONE
OIH,19,,NBR,Nabors Industries Ltd.,Oil&Gas-Drilling,Industrial Services,LOSING,33,66.0,71.3,58.1,3,FOLLOWER,66.0,93.1,45.2,75.3,30.1,-47.9,NONE
OIH,20,,HLX,"Helix Energy Solutions Group, Inc.",Oil&Gas-Field Services,Industrial Services,LOSING,63,55.8,64.4,43.0,6,FOLLOWER,73.7,85.3,59.8,73.1,13.2,-25.5,NONE
OIH,21,,PUMP,ProPetro Holding Corp.,Oil&Gas-Field Services,Industrial Services,LOSING,63,55.8,64.4,43.0,18,FOLLOWER,38.8,60.3,8.5,57.4,48.9,-51.8,NONE
OIH,22,,INVX,"Innovex International, Inc.",Oil&Gas-Machinery/Equip,Industrial Services,LOSING,76,53.8,56.9,49.1,6,FOLLOWER,70.5,75.1,71.8,75.1,3.3,-3.3,NONE
OIH,23,,XPRO,Expro Ltd,Oil&Gas-Field Services,Industrial Services,LOSING,63,55.8,64.4,43.0,5,LEADER,77.0,71.1,81.5,82.0,0.4,10.4,NONE
