period,regime,component,days,mean_daily,median_daily,win_daily,cumulative,annualized_mean,annualized_vol
DISCOVERY,RISK_OFF,TQQQ_FULLY_FUNDED,432,-0.010572939167045966,-0.0062780524173160004,0.4305555555555556,-0.9945537703853178,-2.6643806700955834,0.8335540275543034
DISCOVERY,RISK_OFF,PANIC_STOCK_INCREMENT,432,1.857683229264924e-05,0.0,0.25,0.007764309187533236,0.004681361737747608,0.018454762962956006
DISCOVERY,SOFT_UPTREND,CORE12_FULLY_FUNDED,56,0.0067040821147433,0.0034941715905131288,0.5357142857142857,0.435560343140569,1.6894286929153115,0.3430703896021406
DISCOVERY,SOFT_UPTREND,TQQQ_FULLY_FUNDED,56,0.005048392636741765,0.00286162847413515,0.5178571428571429,0.25298276515334917,1.2721949444589247,0.7228627522687632
DISCOVERY,SOFT_UPTREND,PANIC_STOCK_INCREMENT,56,0.00021919261263510237,4.10036611707687e-05,0.5357142857142857,0.012296297380731014,0.0552365383840458,0.0218604584387431
CONFIRM,EXACT_REBOUND,CORE12_FULLY_FUNDED,12,-0.0032173182320801483,0.0,0.0,-0.038168918094461324,-0.8107641944841973,0.10546936883036419
CONFIRM,EXACT_REBOUND,TQQQ_FULLY_FUNDED,12,0.027455549780205885,0.03352553458914235,0.8333333333333334,0.3784650466120747,6.918798544611883,0.43805727024726543
CONFIRM,EXACT_REBOUND,PANIC_STOCK_INCREMENT,12,3.4545050781098485e-05,0.0,0.3333333333333333,0.0004141762487122058,0.008705352796836818,0.004505178354786693
CONFIRM,HEALTHY_UPTREND,CORE12_FULLY_FUNDED,506,0.004239627225785002,0.0014892062808484763,0.5217391304347826,6.11207075111048,1.0683860608978204,0.4260191502041183
CONFIRM,HEALTHY_UPTREND,TQQQ_FULLY_FUNDED,506,0.009235904280891341,0.0093898152761751,0.6185770750988142,82.24856356695848,2.327447878784618,0.4847281616249815
CONFIRM,HEALTHY_UPTREND,PANIC_STOCK_INCREMENT,506,6.530425403444247e-05,0.0,0.191699604743083,0.033367620988733915,0.016456672016679504,0.014820201858704918
CONFIRM,RISK_OFF,CORE12_FULLY_FUNDED,445,-0.002359044303331864,0.0,0.23370786516853934,-0.6845782026325471,-0.5944791644396298,0.34034787187766846
CONFIRM,RISK_OFF,TQQQ_FULLY_FUNDED,445,-0.010025132304932367,-0.0095183350051888,0.4247191011235955,-0.9942991886475502,-2.5263333408429562,0.8747199825219739
CONFIRM,RISK_OFF,PANIC_STOCK_INCREMENT,445,8.167773636524604e-05,0.0,0.24269662921348314,0.03671156444450552,0.020582789564042,0.01819777609834198
CONFIRM,SOFT_UPTREND,CORE12_FULLY_FUNDED,94,-0.0012309230880675032,0.0,0.4148936170212766,-0.1511469627382952,-0.3101926181930108,0.499080597162689
CONFIRM,SOFT_UPTREND,TQQQ_FULLY_FUNDED,94,0.006768966354672625,0.0063766040835052,0.5425531914893617,0.7123114745477646,1.7057795213775016,0.7284339777677251
CONFIRM,SOFT_UPTREND,PANIC_STOCK_INCREMENT,94,3.571376563836109e-05,0.0,0.23404255319148937,0.003290640640925435,0.008999868940866995,0.01973470262053202
