score_variant,side,threshold,horizon,n,dates,pooled_mean_exqqq,equal_date_mean_exqqq,date_ci_lo,date_ci_hi,event_directional_hit,date_directional_hit
score_exact_current,UP,76,10,152,3,-0.001403807654228857,-0.014191496680616922,-0.04731454031895491,0.00882232874712786,0.5131578947368421,0.3333333333333333
score_exact_current,UP,80,1,160,8,-8.131966275885862e-05,0.0026898592521420496,-0.0041267184249963035,0.009249622450198692,0.475,0.625
score_exact_current,UP,80,3,158,7,0.0011676456422351393,0.0012551254138775444,-0.011719257449870879,0.01320774305393172,0.5126582278481012,0.5714285714285714
score_exact_current,UP,80,5,155,6,-0.0010788432719389279,-0.0007161314132855644,-0.01385267347032298,0.01177017875738475,0.432258064516129,0.5
score_exact_current,UP,80,10,96,3,-0.0067784562470514335,-0.012286267103072781,-0.031958639389460225,0.005378597825653138,0.4479166666666667,0.3333333333333333
score_exact_current,DOWN,40,1,496,10,-0.002328912087307741,-0.0034145333647863144,-0.00938726096804616,0.0017195907951094553,0.5806451612903226,0.7
score_exact_current,DOWN,40,3,468,8,-0.006436061988738473,-0.010337283063184126,-0.01827875275046609,-0.00259784319482429,0.6025641025641025,0.75
score_exact_current,DOWN,40,5,443,7,-0.013221914597666924,-0.01614047836977598,-0.023284887681371397,-0.00899606905818057,0.636568848758465,1.0
score_exact_current,DOWN,40,10,267,4,-0.029093023530321314,-0.03813861454154102,-0.053632029751943686,-0.028408202218921777,0.7078651685393258,1.0
score_exact_current,DOWN,36,1,304,10,-0.0027582747022525888,-0.005912528652382167,-0.022060409659584532,0.005479946364274399,0.6019736842105263,0.7
score_exact_current,DOWN,36,3,293,8,-0.006548760997214215,-0.01816009405603279,-0.037734749024873955,-0.001985248520530059,0.6109215017064846,0.75
score_exact_current,DOWN,36,5,277,7,-0.013627617002430061,-0.01082949288591954,-0.01630335975056511,-0.006602625756718518,0.628158844765343,1.0
score_exact_current,DOWN,36,10,174,4,-0.03828037423556257,-0.058377877548984124,-0.11152358276057012,-0.02561711966640681,0.7471264367816092,1.0
score_exact_current,DOWN,32,1,293,9,-0.002447637250536759,0.0008952227921692163,-0.005465813738095848,0.007579416231005223,0.6040955631399317,0.6666666666666666
score_exact_current,DOWN,32,3,282,7,-0.005801752338073112,-0.01053964344518307,-0.02642782505866229,0.0011321471156305707,0.6028368794326241,0.7142857142857143
score_exact_current,DOWN,32,5,266,6,-0.013208117569663325,-0.011004180490909815,-0.017184945911959133,-0.006186186130284592,0.6203007518796992,1.0
score_exact_current,DOWN,32,10,170,4,-0.03843623901031604,-0.05846551355664961,-0.11155702314700416,-0.02567131528763825,0.7470588235294118,1.0
score_exact_current,DOWN,28,1,173,9,-0.00375714161675223,-0.00012649234815386882,-0.006829813166829604,0.007097881348906884,0.6242774566473989,0.6666666666666666
