date,ticker,source,expiry,confidence,regime,session_consistent,sector,industry,spot,atr14,call_wall,put_wall,gamma_flip,net_gex,total_oi,n_strikes,dte,call_oi,put_oi,expected_move,expected_move_pct,dvol_m,close,ret1_today,gap,ema21,vwap63,hv20,ret20,dist20hi,above_ema21,above_vwap63,call_dist_atr,put_dist_atr,flip_dist_atr,wall_rr,cp_balance,gex_per_oi,implied_vs_realized,sector_ret20,qqq_ret20,qqq_above_ema21,spy_ret20,spy_above_ema21,r1,mfe1,mae1,r1_exqqq,r3,mfe3,mae3,r3_exqqq,r5,mfe5,mae5,r5_exqqq,r10,mfe10,mae10,r10_exqqq,call_touch5,call_break5,put_touch5,put_break5,expiry_return,expiry_inside_expected,expiry_move_ratio,broad_direction_score
2026-09-04,DAR,SCAN,2026-09-18,MEDIUM,POSITIVE_GAMMA,True,Consumer Non-Durables,Food: Specialty/Candy,65.19,3.2964,67.5,60.0,46.19095606800487,1103894.56,12047.0,12.0,14.0,7998.0,4049.0,4.3,0.065961,173.7,65.19000244140625,-0.00851707313450567,-0.014144491333471954,64.54210065176746,60.46258681722572,0.4319481521387044,0.09729006242786453,-0.06844813783583148,1.0,1.0,0.7007644703312711,1.5744448489261005,5.7635735748074035,0.44508670520231275,0.5062515628907227,91.6323200796879,0.6478759568190303,-0.04604312339540706,-0.005629098597988658,1.0,-0.003970213492805907,1.0,,,,,,,,,,,,,,,,,,,,,,,,63
2026-08-18,DASH,SCAN,2026-08-21,OK,POSITIVE_GAMMA,,Transportation,Air Freight/Couriers,216.35,7.9886,220.0,200.0,204.816544670588,5677507.73,21593.0,45.0,,,,,,,216.35000610351562,0.01706470882842015,0.0007991640088838015,204.14186792603985,180.74264403878922,0.47390125741528666,0.15055314735256675,-0.028993274654918966,1.0,1.0,0.4569010840447645,2.04666649976216,1.443739244600054,0.22324159021406773,,262.9327897929885,,0.001499157800316675,0.012045699275570643,1.0,0.025618728496829446,1.0,0.01788765892308719,0.027917694087066014,-0.0023110699602234552,0.01988065226996516,0.03300207621086093,0.04436326171752958,-0.0023110699602234552,0.038674481151313556,0.07926967142436192,0.0844927121035095,-0.0023110699602234552,0.08873300847901566,0.043032111374839754,0.10389644646192875,-0.0023110699602234552,0.05678801022343083,1.0,1.0,0.0,0.0,0.03300207621086093,,,63
2026-08-19,DASH,SCAN,2026-08-21,OK,POSITIVE_GAMMA,,Transportation,Air Freight/Couriers,220.22,7.8118,225.0,220.0,205.6292102833442,7699001.24,22449.0,44.0,,,,,,,220.22000122070312,0.01788765892308719,0.0016177066552016672,205.60351640737287,181.91573470904635,0.41127667719198946,0.23907053685131152,-0.011624237539922366,1.0,1.0,0.6118948257763898,0.028162523362093097,1.8677884375759481,21.727272727272847,,342.95519800436546,,0.012976009526647236,0.015212365315519838,1.0,0.02896673203727218,1.0,0.00971755234668148,0.01734625394721223,-0.019117276771095537,0.016909520131220823,0.04014165965348093,0.0447280267410588,-0.019117276771095537,0.05377143500357351,0.07587862756540198,0.0830987328594992,-0.019117276771095537,0.08245613546989261,0.027336319312920798,0.08449732815292998,-0.019117276771095537,0.03688836195093026,1.0,1.0,1.0,0.0,0.014848806894627975,,,83
2026-08-24,DASH,SCAN,2026-09-04,MEDIUM,POSITIVE_GAMMA,,Transportation,Air Freight/Couriers,229.06,8.3131,230.0,207.5,215.74223387920168,310324.43,2613.0,31.0,,,,,,,229.05999755859375,0.024922779222894764,-0.0065327606514011816,210.47308548252886,185.20717546352427,0.30179338803433753,0.24239303370920418,-0.004390010577092207,1.0,1.0,0.11307454499524819,2.593497010742082,1.6020216430451124,0.04359925788497206,,118.76174129353234,,-0.004877978399786931,0.03547764671943643,0.0,0.03298643326494766,1.0,0.019383578489170716,0.024316805132218455,-0.008993266308172432,0.0131541593402289,0.012354849651697863,0.04129925266172818,-0.008993266308172432,-0.008584636521677291,0.0117000260330693,0.04264387267617553,-0.008993266308172432,-0.003080813151929318,,,,,1.0,1.0,0.0,0.0,-0.07565704189192468,,,68
2026-09-04,DASH,SCAN,2026-09-18,HIGH,POSITIVE_GAMMA,True,Transportation,Air Freight/Couriers,211.73,7.9551,220.0,210.0,161.97972486253545,7877812.56,46034.0,35.0,14.0,29818.0,16216.0,12.95,0.061163,870.9,211.72999572753906,-0.04626128050658085,-0.0022522522522522292,219.87490069542451,194.44683934463018,0.33136562043063855,-0.020947003118293672,-0.11346243685723179,0.0,1.0,1.0395846689545085,0.21747055348141317,6.253884317917379,4.7803468208092825,0.5438325843450265,171.13030716426988,0.7831006487910349,0.000823861038150353,-0.005629098597988658,1.0,-0.003970213492805907,1.0,,,,,,,,,,,,,,,,,,,,,,,,62
2026-09-04,DAVE,SCAN,2026-09-18,MEDIUM,POSITIVE_GAMMA,True,Finance,Major Banks,380.69,21.7691,400.0,350.0,321.7503121149385,378307.49,1007.0,29.0,14.0,605.0,402.0,40.8,0.107174,151.3,380.69000244140625,-0.026019503892189877,-0.02435651990599408,363.95762719244556,357.2570121599223,0.6308390490345875,0.1974019790879762,-0.0362034181789862,1.0,1.0,0.8870371306117387,1.4097964546076776,2.707493092735185,0.6291951775822745,0.6644628099173554,375.6777457795432,0.720787297008927,-0.01137155035735693,-0.005629098597988658,1.0,-0.003970213492805907,1.0,,,,,,,,,,,,,,,,,,,,,,,,58
2026-08-18,DB,SCAN,2026-08-21,OK,POSITIVE_GAMMA,,Finance,Investment Banks/Brokers,38.09,0.6021,39.0,38.0,35.793646127428104,1405872.67,13130.0,18.0,,,,,,,38.09000015258789,-0.0007869564569107368,0.0005246709948605321,37.26077294482093,34.413912014195326,0.26275243713045904,0.0769013656444062,-0.014489038840426849,1.0,1.0,1.511376847699712,0.14947683109118653,3.813907777066765,10.11111111111069,,107.0733183549124,,0.012152076172520232,0.012045699275570643,1.0,0.025618728496829446,1.0,-0.0015752526398176148,0.008663639145063184,-0.005513234015001367,0.0004177407070603545,-0.007088486654818982,0.008663639145063184,-0.014702057522910428,-0.0014160817143663573,0.024940949307791227,0.025728525552913384,-0.014702057522910428,0.03440428636244497,0.03911792261742919,0.06825934533225375,-0.014702057522910428,0.052873821466020265,1.0,0.0,1.0,1.0,-0.007088486654818982,,,83
2026-08-19,DB,SCAN,2026-08-21,OK,POSITIVE_GAMMA,,Finance,Investment Banks/Brokers,38.03,0.5268,39.0,38.0,36.20682105830842,1543342.31,13187.0,18.0,,,,,,,38.029998779296875,-0.0015752526398176148,0.007613570868091557,37.33070256613693,34.57383118597635,0.2632222622785743,0.06855854499150826,-0.01604146758356262,1.0,1.0,1.8413059984813949,0.05694760820045773,3.460856001692445,32.33333333333207,,117.03513384393722,,0.00813202921359113,0.015212365315519838,1.0,0.02896673203727218,1.0,-0.01235859640000092,0.0018406441512253124,-0.01314751554165694,-0.005166628615461577,0.010255046073279095,0.017880629161260098,-0.01314751554165694,0.02388482142337167,0.05784908844480707,0.0688930536597423,-0.01314751554165694,0.0644265963492977,0.06494875887421192,0.06994477866931148,-0.01314751554165694,0.07450080151222138,1.0,1.0,1.0,1.0,-0.005521932453675937,,,83
2026-08-24,DB,SCAN,2026-09-18,MEDIUM,POSITIVE_GAMMA,,Finance,Investment Banks/Brokers,38.42,0.5075,40.0,37.0,34.40468672094847,390274.84,8671.0,18.0,,,,,,,38.41999816894531,0.01586458167537219,0.007139092013282555,37.487394777114254,34.81946072632128,0.20110471447283218,0.08225346954775525,-0.00749162806474124,1.0,1.0,3.1133004926108345,2.79802955665025,7.911947347884794,1.1126760563380256,,45.00920770384039,,0.0038921152320634533,0.03547764671943643,0.0,0.03298643326494766,1.0,0.01613750068013209,0.01691831225552476,-0.000520474857350961,0.009908081531190271,0.04294642385518377,0.05804277624188159,-0.000520474857350961,0.022006937681808614,0.04268618642650823,0.059083825245949795,-0.000520474857350961,0.027905347241509615,,,,,1.0,1.0,0.0,0.0,0.07574190007279902,,,73
2026-09-04,DB,SCAN,2026-09-18,MEDIUM,POSITIVE_GAMMA,True,Finance,Investment Banks/Brokers,41.33,0.6743,42.0,40.0,34.61202594790244,934963.32,12908.0,17.0,14.0,7951.0,4957.0,1.775,0.042947,73.3,41.33000183105469,-0.0055341562713262515,-0.005774823641392812,39.1907795159098,35.972580675715285,0.20000594903106256,0.0859169821275525,-0.0055341562713262515,1.0,1.0,0.9936230164615182,1.9724158386474837,9.962886033067715,0.5037593984962425,0.6234435920010062,72.43285714285715,0.9110163496257476,-0.01137155035735693,-0.005629098597988658,1.0,-0.003970213492805907,1.0,,,,,,,,,,,,,,,,,,,,,,,,63
