date,n,top_n,bottom_n,top,bottom,spread,feature,horizon,note
2026-08-21,56,12,11,-0.011189192760335025,0.000846540745626618,-0.012035733505961642,combined_score_rebuilt,3,higher=bullish
2026-08-24,728,140,145,-0.024812087000532765,-0.010153044293246724,-0.014659042707286041,combined_score_rebuilt,3,higher=bullish
2026-08-25,82,17,17,-0.029347464292922863,-0.013689739523794632,-0.01565772476912823,combined_score_rebuilt,3,higher=bullish
2026-08-27,55,9,11,-0.011767170721216531,-0.018539187715185937,0.0067720169939694055,combined_score_rebuilt,3,higher=bullish
2026-09-01,92,15,15,-0.01652912533570317,0.011132180438431819,-0.02766130577413499,combined_score_rebuilt,3,higher=bullish
2026-08-18,575,116,115,0.015856127552595245,0.0023011849819643856,0.013554942570630859,flip_dist_atr,3,higher=bullish
2026-08-19,575,116,115,0.020277846480782798,-0.0028131643556957154,0.023091010836478514,flip_dist_atr,3,higher=bullish
2026-08-21,36,8,7,0.012495404228794364,0.004571999785985071,0.007923404442809293,flip_dist_atr,3,higher=bullish
2026-08-24,615,124,123,-0.02553871978798179,-0.016074784364801985,-0.009463935423179803,flip_dist_atr,3,higher=bullish
2026-08-25,45,10,9,-0.028293544104177743,-0.016018617643230468,-0.012274926460947275,flip_dist_atr,3,higher=bullish
2026-08-27,31,7,6,0.02179322956659016,-0.006710913191004134,0.028504142757594296,flip_dist_atr,3,higher=bullish
2026-09-01,54,11,10,-0.008619710149657366,0.014358608799452211,-0.022978318949109577,flip_dist_atr,3,higher=bullish
2026-08-18,269,54,53,0.005046402538708656,0.005767394351133105,-0.0007209918124244487,log_wall_rr,3,higher=bullish
2026-08-19,590,119,118,0.0016946367194322944,0.021377051718049298,-0.019682414998617004,log_wall_rr,3,higher=bullish
2026-08-21,40,9,8,-0.005376461187212167,0.006644599373165375,-0.012021060560377541,log_wall_rr,3,higher=bullish
2026-08-24,699,140,139,-0.014191563948856482,-0.024100563476127625,0.009908999527271143,log_wall_rr,3,higher=bullish
2026-08-25,57,12,11,-0.023651843760918837,-0.012150670886065518,-0.011501172874853319,log_wall_rr,3,higher=bullish
2026-08-27,38,8,7,-0.016424694106246328,-0.021684689285448627,0.005259995179202299,log_wall_rr,3,higher=bullish
