sample,model,metric,dates,mean,ci_lo,ci_hi,delta_vs_base,delta_ci_lo,delta_ci_hi,improved_date_fraction
pair:base+depth+flip,base,mse,6,0.00329609760410601,0.0019469979757614786,0.005438425533971461,0.0,0.0,0.0,0.0
pair:base+depth+flip,base+depth+flip,ic,6,0.15233101529112272,0.09290685153525295,0.21348167416305408,0.0069567626532323484,-0.039848140830481375,0.05197087160189647,0.5
pair:base+depth+flip,base+depth+flip,spread,6,0.0227461045258098,0.012657598030750112,0.03732314780973465,0.005310335003783377,-0.005678184819476448,0.015899238067820093,0.6666666666666666
pair:base+depth+flip,base+depth+flip,mse,6,0.0031190666029888674,0.0019354029862283758,0.005130806429875324,-0.0001770310011171434,-0.00034688982933031527,1.9905863355968317e-05,0.6666666666666666
pair:base+depth+flip+gex,base,ic,6,0.1453742526378904,0.04867388044402646,0.2422660513066368,0.0,0.0,0.0,0.0
pair:base+depth+flip+gex,base,spread,6,0.017435769522026422,0.003990024592922692,0.02974548227362034,0.0,0.0,0.0,0.0
pair:base+depth+flip+gex,base,mse,6,0.00329609760410601,0.0019419369420948032,0.005435895017138124,0.0,0.0,0.0,0.0
pair:base+depth+flip+gex,base+depth+flip+gex,ic,6,0.14417332215017678,0.0688555145526732,0.21949112974768034,-0.0012009304877136015,-0.03226135891685262,0.03332462781784561,0.3333333333333333
pair:base+depth+flip+gex,base+depth+flip+gex,spread,6,0.02356954522424505,0.010451854349540907,0.03776333260050754,0.006133775702218629,-0.004818125109698769,0.01427450931975483,0.8333333333333334
pair:base+depth+flip+gex,base+depth+flip+gex,mse,6,0.0031242655571153757,0.0019463259167171341,0.005132703470061635,-0.00017183204699063514,-0.0003466184074660107,1.7323141207141906e-05,0.6666666666666666
pair:base+depth+flip+wall_dist,base,ic,6,0.05486875699131844,-0.029994856835670297,0.1531185468963763,0.0,0.0,0.0,0.0
pair:base+depth+flip+wall_dist,base,spread,6,0.0051114020194858315,-0.0064823260380601185,0.01835656794079094,0.0,0.0,0.0,0.0
pair:base+depth+flip+wall_dist,base,mse,6,0.002492389464619249,0.0020172596501372773,0.003044539632148803,0.0,0.0,0.0,0.0
pair:base+depth+flip+wall_dist,base+depth+flip+wall_dist,ic,6,0.08410634222179057,0.008687461278539858,0.1649880899310848,0.029237585230472134,-0.01527981906635679,0.074157558298279,0.6666666666666666
