sample,date,model,n,ic,spread,mse
pair:base+depth+flip,2026-08-24,base,615,0.035772788093219106,0.003485584278699591,0.0030786798150524816
pair:base+depth+flip,2026-08-24,base+depth+flip,615,0.09060580039039715,0.008727122747216508,0.002641872802589733
pair:base+depth+flip,2026-08-25,base,45,0.0903820816864295,0.02961075247804519,0.002649494641004489
pair:base+depth+flip,2026-08-25,base+depth+flip,45,0.1681159420289855,0.01194709156946203,0.002300633771024363
pair:base+depth+flip,2026-08-27,base,31,0.002419354838709678,-0.008063678878303907,0.0016783347393896397
pair:base+depth+flip,2026-08-27,base+depth+flip,31,0.04395161290322581,0.0172985797755718,0.0018763113915875374
pair:base+depth+gex,2026-08-18,base,589,0.29548678381887705,0.037440761241953564,0.008465981700156203
pair:base+depth+gex,2026-08-18,base+depth+gex,589,0.25162370896388825,0.05401469677384803,0.008089965663589091
pair:base+depth+gex,2026-08-19,base,593,0.1265693487447282,0.011836617542448816,0.0017123006477006244
pair:base+depth+gex,2026-08-19,base+depth+gex,593,0.13010862694673828,0.014878106088843185,0.0016853455764910261
pair:base+depth+gex,2026-08-21,base,40,0.16960600375234522,0.036321827827720615,0.0021569390505281833
pair:base+depth+gex,2026-08-21,base+depth+gex,40,0.1555347091932458,0.031922136690198985,0.0020397962849184395
pair:base+depth+gex,2026-08-24,base,701,0.02218719483406049,-0.002442219139386314,0.0032895193505073903
pair:base+depth+gex,2026-08-24,base+depth+gex,701,0.07572701892575424,0.0077425962609280405,0.0028588178940770503
pair:base+depth+gex,2026-08-25,base,57,0.1627560280010371,0.03881521952658697,0.002250604603053562
pair:base+depth+gex,2026-08-25,base+depth+gex,57,0.1646357272491574,0.017096275583864402,0.0020704979128422134
pair:base+depth+gex,2026-08-27,base,39,0.19331983805668018,0.012214564822336132,0.0016464672877788457
pair:base+depth+gex,2026-08-27,base+depth+gex,39,0.13238866396761134,0.022239632584353082,0.0018180182435464565
pair:base+depth+wall_rr,2026-08-18,base,269,0.23183401456164035,0.022517388170512184,0.0037576519313738247
pair:base+depth+wall_rr,2026-08-18,base+depth+wall_rr,269,0.22503282842294103,0.04189076800571092,0.003409931958005395
pair:base+depth+wall_rr,2026-08-19,base,590,0.06035831127526987,0.0007005734547322296,0.0019680120694519658
pair:base+depth+wall_rr,2026-08-19,base+depth+wall_rr,590,0.07980701574230709,0.008536224775853007,0.0017592018336110727
pair:base+depth+wall_rr,2026-08-21,base,40,0.012945590994371484,0.033817578493533326,0.0021267499696370393
pair:base+depth+wall_rr,2026-08-21,base+depth+wall_rr,40,0.07748592870544091,0.007190174366184777,0.002099408666478721
pair:base+depth+wall_rr,2026-08-24,base,699,-0.056358871158191055,-0.011091236317960721,0.0029664511510280054
pair:base+depth+wall_rr,2026-08-24,base+depth+wall_rr,699,0.029662573013748427,0.0018983117949752971,0.002648974471553326
pair:base+depth+wall_rr,2026-08-25,base,57,0.12671765620948924,0.028693117011362068,0.0021611344377629174
pair:base+depth+wall_rr,2026-08-25,base+depth+wall_rr,57,0.12276380606689137,0.028570187865035696,0.0020337952693144654
pair:base+depth+wall_rr,2026-08-27,base,38,-0.06532443374548638,-0.022763388219822888,0.0018380563229986606
pair:base+depth+wall_rr,2026-08-27,base+depth+wall_rr,38,0.046503993872414925,0.016464823666979225,0.0019821940546383286
pair:base+depth+flip+gex,2026-08-18,base,572,0.30977146747220374,0.039669429431914,0.008402953635794044
pair:base+depth+flip+gex,2026-08-18,base+depth+flip+gex,572,0.25644729647993875,0.05291846928712673,0.008039750728075433
pair:base+depth+flip+gex,2026-08-19,base,575,0.12527691511387165,0.012607213079696925,0.0016935178403896668
