condition,horizon,n,dates,tickers,mean_exqqq,ci_lo,ci_hi,raw_mean,median_exqqq,win_exqqq,p_boot,q_bh
Price < EMA21,1,1054,10,585,-0.0005507128408065559,-0.0028413583357435844,0.002098493755477808,-0.0007191605785049169,-0.0017920767915076685,0.4449715370018975,0.7776852622814321,0.9711110306628534
Wall RR <=0.7,1,699,9,521,-0.0008036382747391876,-0.006397059683115271,0.00467499497819969,-0.0011608052037057278,-0.0035636562343989153,0.43061516452074394,0.8109908409658618,0.9711110306628534
20d return <0,1,898,10,499,-0.0008768265034073543,-0.004053818851852711,0.0017905505211790358,-0.0007859707517185845,-0.0017001302333918278,0.44320712694877507,0.6411323896752706,0.9711110306628534
GEX- & Flip below,1,432,9,290,-0.0016691268103036614,-0.005431411347680758,0.005030541050274153,-0.0018386252007790227,-0.002063157997208409,0.4351851851851852,0.5087427144046628,0.9711110306628534
Flip < -0.35ATR,1,436,9,293,-0.0016764952854089353,-0.005350923288328239,0.004487037015894241,-0.0018741068814912857,-0.002063157997208409,0.43577981651376146,0.47793505412156534,0.9711110306628534
Negative gamma regime,1,296,10,221,-0.002757317646757726,-0.006788366150719815,0.004984008812184328,-0.0015614213761828955,-0.0024647595327356164,0.40202702702702703,0.398834304746045,0.9711110306628534
Large move day |r|>=5%,1,174,9,140,-0.0007691227190205246,-0.016877671503606407,0.01405051594770914,-0.002742262769922679,-0.0039467250382721475,0.4425287356321839,0.9475437135720233,0.9813845604853098
Sector 20d momentum <0,3,523,8,309,-0.011021181237790861,-0.012522545742484101,-0.007941684291799474,-0.0065562710633839194,-0.013398160995497621,0.30592734225621415,0.0008326394671107411,0.015091590341382181
QQQ < EMA21,3,968,5,867,-0.015218156286938974,-0.0173160138185247,-0.0008561026634181409,0.0025597567010633296,-0.019583897683878415,0.25826446280991733,0.012489592006661115,0.13930698776660475
Broad Direction score <=32,3,284,6,188,-0.00669406536589181,-0.009904316252209139,-0.001356963554141157,-0.005160623941457684,-0.009940918461158021,0.38380281690140844,0.020815986677768527,0.20595582112945096
Bear combo Flip-/EMA/VWAP/RR,3,58,5,50,-0.015147831804728663,-0.02551233805394917,0.0012903976256072472,-0.01390574679448903,-0.010322486128952868,0.3448275862068966,0.02164862614487927,0.20595582112945096
QQQ > EMA21,3,1265,3,663,0.009844706596577588,0.006575463729483054,0.011130080719433036,-0.00019263249915091047,0.0078032131902752155,0.5984189723320158,0.035803497085761866,0.23597759442888505
Negative gamma regime,3,268,8,201,-0.008579747075762726,-0.016180134951647288,0.001610613829755335,-0.002402695365987379,-0.008830196267082702,0.3694029850746269,0.06411323896752706,0.3205661948376353
Price < 63d VWAP,3,798,8,401,-0.005645587450180543,-0.014212225860059626,0.0009747047325752416,-0.003126839811663219,-0.008505790045903572,0.39724310776942356,0.12822647793505412,0.5468482147230249
Net GEX <0,3,693,8,401,-0.005078866552682101,-0.012884045452783927,0.0004737931918622641,-0.0032964576698826012,-0.005856103350979414,0.4126984126984127,0.13488759367194006,0.5588200309266088
OI >=20k,3,551,7,283,0.009673126336190378,-0.015953548141467544,0.01706818243335908,0.004851568459627413,0.006376646420463761,0.5698729582577132,0.1565362198168193,0.6134527533361838
Flip < -0.35ATR,3,412,7,269,-0.005391655975234961,-0.014607383593723915,0.002294489395909469,-0.003227704466613883,-0.008314246295821337,0.4029126213592233,0.24895920066611157,0.8563600100691284
OI >=5k,3,1246,7,575,0.005826942598009826,-0.01220707676555782,0.01284734613395061,0.00417237884024799,0.003055829416171274,0.5304975922953451,0.3122398001665279,0.9151540383014155
GEX- & Flip below,3,408,7,266,-0.005240905557329107,-0.014432987434672803,0.002295425149957024,-0.0030526404562884663,-0.007911435364499564,0.40441176470588236,0.29891756869275604,0.9151540383014155
Broad Direction score >=68,3,656,7,415,0.0068910392589085975,-0.02469695764680657,0.021299234225030026,0.006063847808643128,0.005505099919285494,0.5503048780487805,0.5695253955037469,0.9711110306628534
20d return >10%,3,582,8,285,0.005349647026798946,-0.015619814318368282,0.018523998076193156,0.007260964668220411,0.005505099919285494,0.5515463917525774,0.5054121565362198,0.9711110306628534
Near flip regime,3,674,8,405,0.0032982637965438626,-0.013265565890958361,0.010716807794032389,0.000507759414919993,0.0,0.4940652818991098,0.5487094088259784,0.9711110306628534
Call Wall 0-0.5ATR,3,466,7,367,0.002946560359935134,-0.021561300623199955,0.011437652163905111,0.00032915184273455203,-0.0021585407183465355,0.47854077253218885,0.7343880099916736,0.9711110306628534
Strikes >=20,3,1015,7,381,0.0026728182148728534,-0.015901478707684807,0.012344052565277824,0.0033353842500356765,-0.0013286472236118119,0.4876847290640394,0.7568692756036636,0.9711110306628534
Bull combo Flip+/EMA/VWAP/RR,3,221,7,186,0.002197065783592764,-0.018230564233350045,0.01546660027233247,0.0030093970072633787,0.0016013556186631472,0.5203619909502263,0.8659450457951707,0.9711110306628534
Sector 20d momentum >0,3,1673,8,729,0.0020600768766428934,-0.019632781053328226,0.015971267416771618,0.0033484240808553762,-0.00019041595550139956,0.4967124925283921,0.8218151540383014,0.9711110306628534
GEX+ & Flip above,3,1229,7,626,0.0018103996755610807,-0.022426424514170578,0.017044471393603294,0.0033836222388117184,-0.002466754426596607,0.47681041497152155,0.8409658617818485,0.9711110306628534
Put Wall 0.5-1ATR,3,421,7,344,0.0015708231914666965,-0.019561493286133543,0.013465513310190937,0.0022834129210025653,-0.0013043850717719963,0.4916864608076009,0.8734388009991674,0.9711110306628534
Price > 63d VWAP,3,1435,8,624,0.0015523047694479422,-0.01873914864663248,0.015403227288750782,0.0032957369650945295,-0.001319368042883573,0.4808362369337979,0.8401332223147377,0.9711110306628534
Flip > +0.35ATR,3,1277,7,642,0.0014373360602962478,-0.022534440053640234,0.016910631651732,0.0030558682609497074,-0.002466754426596607,0.4729835552075176,0.8559533721898418,0.9711110306628534
Call Wall 0.5-1ATR,3,437,7,349,0.0008334666070131108,-0.02132406037254629,0.012760014276710812,0.00018841612983941844,-0.0034493511703344026,0.4691075514874142,0.9150707743547044,0.9711110306628534
Net GEX >0,3,1540,8,741,0.0008065149869626101,-0.01860880454231354,0.015067920984659353,0.0029341620392415867,-0.0029028395936960827,0.4681818181818182,0.9050791007493755,0.9711110306628534
Price > EMA21,3,1242,8,597,0.0007526360482837719,-0.021534042668078904,0.01641469153134939,0.002561317133875822,-0.0023774405369939022,0.4718196457326892,0.9175686927560366,0.9711110306628534
Put Wall 1-2ATR,3,469,7,376,0.0007108162366271275,-0.013985099265837828,0.014106201734263172,0.004567544197164165,-0.0014259272692314084,0.47974413646055436,0.9025811823480433,0.9711110306628534
Normal move day |r|<5%,3,2067,8,896,-0.0011061300821649741,-0.017592451066615254,0.011619387875631373,0.001314908426471449,-0.0038085678555255242,0.4508950169327528,0.8934221482098251,0.9711110306628534
Call Wall 1-2ATR,3,554,7,445,-0.0014434260331655012,-0.0158629546441416,0.011486077073225924,0.002466679397965721,-0.0035165292145991622,0.4620938628158845,0.861781848459617,0.9711110306628534
Flip near ±0.35ATR,3,242,7,184,-0.002108531218007091,-0.013975285674137524,0.005217470188069438,-0.00474296889285062,-0.0040515688823014595,0.4669421487603306,0.5570358034970858,0.9711110306628534
Wall RR >=1.4,3,722,7,524,-0.0028294818663746374,-0.01303963716047592,0.005728459485194662,5.473277781455262e-05,-0.00523049556584676,0.4390581717451524,0.5836802664446294,0.9711110306628534
Price < EMA21,3,991,8,532,-0.0032415695389048657,-0.01148970595858601,0.0027497204210629087,-0.0009555918315543584,-0.00606557775634764,0.4248234106962664,0.38384679433805163,0.9711110306628534
Wall RR <=0.7,3,670,7,492,-0.0032562760585785415,-0.02347952007552931,0.014656610882116738,-3.4309064247014867e-05,-0.00635700874580708,0.41940298507462687,0.7710241465445462,0.9711110306628534
20d return <0,3,839,8,449,-0.005600702442108402,-0.017670440195552382,0.0032964012637459457,-0.002568088534363212,-0.00890134476335791,0.39213349225268174,0.4096586178184846,0.9711110306628534
Positive gamma regime,3,1081,8,586,-0.000879691404579333,-0.021961606892257946,0.016696027906211053,0.0017113695127056558,-0.0038085678555255242,0.45790934320074006,0.9417152373022482,0.9813845604853098
Put Wall 0-0.5ATR,3,507,7,374,0.00010921293824812437,-0.013211482366432025,0.005998457651151194,-0.0023045215028698334,-0.0026932372480228395,0.47731755424063116,0.9716902581182348,0.9869689012070361
Large move day |r|>=5%,3,166,7,133,5.2707462341715675e-05,-0.018057429295325604,0.02100780229617665,-0.0029141647127294192,-0.006811654326844996,0.45180722891566266,0.9925062447960034,0.9925062447960032
Broad Direction score <=32,5,269,5,173,-0.01412509881740215,-0.02494056527185741,-0.007347340725881562,-0.014486527077948758,-0.01239769792976153,0.3680297397769517,0.0008326394671107411,0.015091590341382181
Sector 20d momentum <0,5,476,7,263,-0.017810021508303454,-0.028531112741403974,-0.006231446799078695,-0.015386033208107166,-0.016450407411666146,0.2815126050420168,0.0008326394671107411,0.015091590341382181
QQQ < EMA21,5,876,4,788,-0.023969872973974286,-0.025263763656243724,-0.00809030550975842,-0.01166053077824855,-0.026768905883243987,0.20205479452054795,0.0008326394671107411,0.015091590341382181
QQQ > EMA21,5,1265,3,663,0.008355403151357889,0.0026825432357775792,0.011940348029439286,0.000474003541396916,0.00612500886787426,0.5596837944664032,0.0324729392173189,0.22421791364339239
Negative gamma regime,5,253,7,188,-0.014715792183889175,-0.026867980010534923,0.0014493355456985256,-0.01105754928998066,-0.016236634462273303,0.33992094861660077,0.05578684429641965,0.2995960156659574
Bear combo Flip-/EMA/VWAP/RR,5,57,4,49,-0.017651110595631587,-0.037680680471281695,-0.004101695679750628,-0.0166860478370163,-0.016517126164545037,0.2807017543859649,0.07660283097418817,0.3702470163752428
Net GEX <0,5,662,7,373,-0.010516101131951908,-0.02581039861160145,-0.00023260976544372096,-0.010271120521892654,-0.010029802665189491,0.38972809667673713,0.08825978351373855,0.4128280196610351
Price < 63d VWAP,5,759,7,363,-0.011246172045608514,-0.025616604537325227,-0.0003325645881406495,-0.01062483377497111,-0.011604882270481398,0.3583662714097497,0.09159034138218151,0.41501873438801
GEX- & Flip below,5,391,6,249,-0.009708272795738193,-0.02572319208312951,0.002203065356277858,-0.009309621662769338,-0.012430477197058476,0.38107416879795397,0.20649458784346378,0.7485428809325562
Flip < -0.35ATR,5,395,6,252,-0.009632941089126424,-0.025881931912302036,0.0020705502243288576,-0.00923090682175078,-0.012430477197058476,0.379746835443038,0.23646960865945046,0.836294957454154
OI >=20k,5,536,6,268,0.009466738836903502,-0.022163980808396218,0.0233250735422561,0.004669404872263674,0.004545389994931093,0.539179104477612,0.29725228975853457,0.9151540383014155
Price < EMA21,5,939,7,485,-0.008386025237144306,-0.0238861809842725,0.003057959626201554,-0.008021247249332305,-0.007905046305799579,0.3929712460063898,0.28309741881765194,0.9151540383014155
20d return <0,5,788,7,400,-0.009903085334696556,-0.027585374448094193,0.0035165090817212965,-0.009019944268610459,-0.01069112021031493,0.366751269035533,0.3488759367194005,0.9544719023455296
Broad Direction score >=68,5,644,6,404,0.004892392685814193,-0.027600963127218995,0.022381165128862,0.0032184754498972797,-0.0016860998184639597,0.4891304347826087,0.6960865945045795,0.9711110306628534
OI >=5k,5,1216,6,545,0.0033775043146666702,-0.019240570016733686,0.014024003224791318,0.0010444699416520286,-0.0006267119927678699,0.4934210526315789,0.7019150707743547,0.9711110306628534
Near flip regime,5,656,7,388,0.001353553085227238,-0.02097467846923054,0.011826774989865705,-0.0017185321742278414,-0.002196844674694054,0.4603658536585366,0.7960033305578684,0.9711110306628534
Call Wall 0-0.5ATR,5,456,6,357,0.00030141857274179374,-0.02653376738675035,0.010311755869648668,-0.0021700669113737104,-0.004844698394418145,0.43640350877192985,0.9217318900915903,0.9711110306628534
Strikes >=20,5,1005,6,371,-0.00035914059889474937,-0.023790771716013268,0.013753052506477263,-0.0008399003670175615,-0.004721837871604517,0.44676616915422884,0.9242298084929226,0.9711110306628534
GEX+ & Flip above,5,1196,6,593,-0.0007740971047245349,-0.02726551386791921,0.018757827276497885,-0.0006742077029540232,-0.005507429504548911,0.4331103678929766,0.9217318900915903,0.9711110306628534
