sector_etf,provider_symbol,symbol,weight_pct,name,source_url,provider
FAN,NPI.CN,NPI.TO,5.86,Northland Power Inc.,https://www.ftportfolios.com/Retail/Etf/EtfHoldings.aspx?Print=Y&Ticker=FAN,FIRSTTRUST
FAN,ENLT.IT,ENLT.TA,4.8,Enlight Renewable Energy Ltd.,https://www.ftportfolios.com/Retail/Etf/EtfHoldings.aspx?Print=Y&Ticker=FAN,FIRSTTRUST
FAN,ACA,ACA,2.91,"Arcosa, Inc.",https://www.ftportfolios.com/Retail/Etf/EtfHoldings.aspx?Print=Y&Ticker=FAN,FIRSTTRUST
FAN,PRY.IM,PRY.MI,2.48,Prysmian SpA,https://www.ftportfolios.com/Retail/Etf/EtfHoldings.aspx?Print=Y&Ticker=FAN,FIRSTTRUST
FAN,916.HK,0916.HK,2.47,China Longyuan Power Group Corporation Limited (Class H),https://www.ftportfolios.com/Retail/Etf/EtfHoldings.aspx?Print=Y&Ticker=FAN,FIRSTTRUST
FAN,TKR,TKR,2.39,The Timken Company,https://www.ftportfolios.com/Retail/Etf/EtfHoldings.aspx?Print=Y&Ticker=FAN,FIRSTTRUST
FAN,ERG.IM,ERG.MI,2.34,ERG SpA,https://www.ftportfolios.com/Retail/Etf/EtfHoldings.aspx?Print=Y&Ticker=FAN,FIRSTTRUST
FAN,ENRG.IT,ENRG.TA,2.32,Energix-Renewable Energies Ltd.,https://www.ftportfolios.com/Retail/Etf/EtfHoldings.aspx?Print=Y&Ticker=FAN,FIRSTTRUST
FAN,RWE.GY,RWE.DE,2.28,RWE AG,https://www.ftportfolios.com/Retail/Etf/EtfHoldings.aspx?Print=Y&Ticker=FAN,FIRSTTRUST
FAN,GEV,GEV,2.22,GE Vernova Inc.,https://www.ftportfolios.com/Retail/Etf/EtfHoldings.aspx?Print=Y&Ticker=FAN,FIRSTTRUST
FAN,6501.JP,6501.T,2.19,"Hitachi, Ltd.",https://www.ftportfolios.com/Retail/Etf/EtfHoldings.aspx?Print=Y&Ticker=FAN,FIRSTTRUST
FAN,SKFB.SS,SKFB.ST,2.17,AB SKF (Class B),https://www.ftportfolios.com/Retail/Etf/EtfHoldings.aspx?Print=Y&Ticker=FAN,FIRSTTRUST
FAN,IBE.SM,IBE.SM,2.12,Iberdrola S.A.,https://www.ftportfolios.com/Retail/Etf/EtfHoldings.aspx?Print=Y&Ticker=FAN,FIRSTTRUST
FAN,LNT,LNT,2.02,Alliant Energy Corporation,https://www.ftportfolios.com/Retail/Etf/EtfHoldings.aspx?Print=Y&Ticker=FAN,FIRSTTRUST
FAN,3402.JP,3402.T,2.02,"Toray Industries, Inc.",https://www.ftportfolios.com/Retail/Etf/EtfHoldings.aspx?Print=Y&Ticker=FAN,FIRSTTRUST
FAN,ENEL.IM,ENEL.MI,1.96,Enel SpA,https://www.ftportfolios.com/Retail/Etf/EtfHoldings.aspx?Print=Y&Ticker=FAN,FIRSTTRUST
FAN,NEE,NEE,1.89,"NextEra Energy, Inc.",https://www.ftportfolios.com/Retail/Etf/EtfHoldings.aspx?Print=Y&Ticker=FAN,FIRSTTRUST
FAN,ENGI.FP,ENGI.PA,1.82,Engie S.A.,https://www.ftportfolios.com/Retail/Etf/EtfHoldings.aspx?Print=Y&Ticker=FAN,FIRSTTRUST
FAN,ENR.GR,ENR.DE,1.81,Siemens Energy AG,https://www.ftportfolios.com/Retail/Etf/EtfHoldings.aspx?Print=Y&Ticker=FAN,FIRSTTRUST
FAN,ANA.SM,ANA.SM,1.8,"Acciona, S.A.",https://www.ftportfolios.com/Retail/Etf/EtfHoldings.aspx?Print=Y&Ticker=FAN,FIRSTTRUST
FAN,CWEN,CWEN,1.78,"Clearway Energy, Inc. (Class C)",https://www.ftportfolios.com/Retail/Etf/EtfHoldings.aspx?Print=Y&Ticker=FAN,FIRSTTRUST
FAN,BKW.SW,BKW.SW,1.69,BKW AG,https://www.ftportfolios.com/Retail/Etf/EtfHoldings.aspx?Print=Y&Ticker=FAN,FIRSTTRUST
FAN,2208.HK,2208.HK,1.53,"Goldwind Science & Technology Co., Ltd. (Class H)",https://www.ftportfolios.com/Retail/Etf/EtfHoldings.aspx?Print=Y&Ticker=FAN,FIRSTTRUST
FAN,112610.KS,112610.KS,1.52,CS Wind Corp.,https://www.ftportfolios.com/Retail/Etf/EtfHoldings.aspx?Print=Y&Ticker=FAN,FIRSTTRUST
FAN,DEME.BB,DEME.BB,1.21,DEME Group NV,https://www.ftportfolios.com/Retail/Etf/EtfHoldings.aspx?Print=Y&Ticker=FAN,FIRSTTRUST
FAN,AMSC,AMSC,1.06,American Superconductor Corporation,https://www.ftportfolios.com/Retail/Etf/EtfHoldings.aspx?Print=Y&Ticker=FAN,FIRSTTRUST
FAN,1072.HK,1072.HK,0.98,Dongfang Electric Corporation Limited (Class H),https://www.ftportfolios.com/Retail/Etf/EtfHoldings.aspx?Print=Y&Ticker=FAN,FIRSTTRUST
FAN,FUR.NA,FUR.AS,0.97,Fugro N.V.,https://www.ftportfolios.com/Retail/Etf/EtfHoldings.aspx?Print=Y&Ticker=FAN,FIRSTTRUST
FAN,9958.TT,9958.TW,0.94,"Century Iron & Steel Industrial Co., Ltd.",https://www.ftportfolios.com/Retail/Etf/EtfHoldings.aspx?Print=Y&Ticker=FAN,FIRSTTRUST
FAN,RNW,RNW,0.9,Renew Energy Global Plc (Class A),https://www.ftportfolios.com/Retail/Etf/EtfHoldings.aspx?Print=Y&Ticker=FAN,FIRSTTRUST
FAN,BONHR.NO,BONHR.OL,0.79,Bonheur ASA,https://www.ftportfolios.com/Retail/Etf/EtfHoldings.aspx?Print=Y&Ticker=FAN,FIRSTTRUST
FAN,956.HK,0956.HK,0.45,China Suntien Green Energy Corporation Limited (Class H),https://www.ftportfolios.com/Retail/Etf/EtfHoldings.aspx?Print=Y&Ticker=FAN,FIRSTTRUST
