period,rule,n,end,cagr,mdd,avg_exposure,max_exposure,accepted_theme,accepted_market,market_preemptions,skipped_market_no_slot,skipped_market_cap,turnover_nav
CONFIRM,MC_LT50,1126,1.151997668610683,0.032034379202581675,-0.03338833081156134,0.04728654926682033,0.13511831766156474,58,37,8,340,743,5.569946271491065
CONFIRM,MC_20_50,1126,1.14710782993948,0.03105656356427966,-0.03338833081156145,0.04660136627572088,0.1351183176615647,58,34,6,44,365,5.403763604943228
CONFIRM,MC_20_35,1126,1.1032293847881591,0.02213404287965237,-0.033647392492084593,0.039601945859818244,0.13511846121028306,58,20,5,27,247,4.570494992099859
CONFIRM,MC_35_50,1126,1.1418809176662799,0.030007755135899705,-0.028908239369093813,0.04370038177476006,0.13511763073065683,58,27,3,17,105,5.001881236846915
CONFIRM,MC_20_50_SEC50,1126,1.1223187546790838,0.026049079772396455,-0.04438176963715468,0.04462012935340193,0.1351176665075856,58,28,3,14,154,5.045199537477816
CONFIRM,MC_20_50_SEC60,1126,1.1267746464593882,0.02695547988418201,-0.029167613203067155,0.043819405647502606,0.13511777560031996,58,26,3,11,122,4.930405836797198
CONFIRM,MC_20_50_SEC70,1126,1.0980360955279718,0.021059848711364015,-0.029167613203067377,0.042457529529988644,0.13511777560031996,58,24,3,8,70,4.801315838849372
CONFIRM,MC_20_50_SEC60_UP1,1126,1.1435840404452298,0.03034990505133095,-0.03317145307181668,0.04133394636580903,0.1364238472862125,58,21,2,6,68,4.654152755875477
CONFIRM,RSI27P5_MC_20_50_SEC60,1126,1.1088166047994261,0.023285339471740052,-0.04076717876691749,0.04180514776974052,0.13511744033754824,58,21,1,5,45,4.64029950712294
CONFIRM,RSI25_MC_20_50_SEC60,1126,1.1190968024494825,0.025391939039768552,-0.018697518003790825,0.03700485394302043,0.13511766921303958,58,12,0,1,8,4.129466460947978
CONFIRM,SECTOR_RS63_PCT_GE50,1126,1.1765518904041739,0.03689625960618703,-0.03457666883550359,0.0518294554243309,0.13511838662444925,58,44,7,189,439,6.021862705541539
CONFIRM,RSI_MIN_LE30P0,1126,1.1816116976732232,0.03788831527365755,-0.025380564208597245,0.05380999129713119,0.1351184277712472,58,48,8,343,1017,6.246128172479534
