rule,period,input_signals,n,end,cagr,mdd,avg_exposure,max_exposure,max_concurrent,accepted,skipped_position_cap,skipped_theme_cap,confirmation_adds,turnover_nav
SECTOR_RS63_PCT_GE60,DISCOVERY,765,1511,1.0096527094818775,0.0016048846028933195,-0.023565014713360588,0.02208524529608342,0.04669403575981633,1,58,707,0,0,3.3772454064915745
SECTOR_RS63_PCT_GE60,CONFIRM,537,1126,1.0378272100995327,0.00830839474867573,-0.024159821800477488,0.023337614203320665,0.05755813068551314,1,45,492,0,0,2.6488643219174635
SECTOR_RS63_PCT_GE70,DISCOVERY,561,1511,1.0342601600568375,0.005639097343555832,-0.02450840286657896,0.021843966129402228,0.05142226328671274,1,57,504,0,0,3.341129085129736
SECTOR_RS63_PCT_GE70,CONFIRM,398,1126,0.999312789171644,-0.00015318221697735446,-0.02085282224286633,0.021878852070807208,0.03862288160955768,1,42,356,0,0,2.4355901248103833
SECTOR_RS63_PCT_GE80,DISCOVERY,408,1511,1.0361403906012618,0.005944047473104508,-0.02414535467977652,0.020651396353531668,0.05142226328671275,1,54,354,0,0,3.1696944368532534
SECTOR_RS63_PCT_GE80,CONFIRM,279,1126,0.9784921934474166,-0.004833475727555214,-0.03817534168335268,0.021094637111265722,0.04020648593162192,1,41,238,0,0,2.3583627788133708
C1_SEC70_MC20,DISCOVERY,333,1511,1.0359740045112833,0.0059170803090138335,-0.0237863949631979,0.019603769295407424,0.05142226328671275,1,51,282,0,0,2.9943655910241675
C1_SEC70_MC20,CONFIRM,182,1126,0.9906439743118098,-0.0020925631237249664,-0.023014656695007907,0.019166599730293013,0.03862288160955768,1,37,145,0,0,2.137192874526009
C2_SEC70_MC35,DISCOVERY,273,1511,1.0410764928868608,0.006742434037939171,-0.02402550241485879,0.0188964956458058,0.05142226328671275,1,49,224,0,0,2.8836393803321907
C2_SEC70_MC35,CONFIRM,108,1126,0.9946011337633607,-0.001205640926735363,-0.022462964470495894,0.014423228540232612,0.03659646727569769,1,28,80,0,0,1.6171446935104603
C3_RSI25_SEC70_MC20,DISCOVERY,57,1511,0.9946766746143793,-0.0008905986999913074,-0.03155044825648934,0.010200019456680644,0.04308506594922402,1,27,30,0,0,1.5643468037422585
C3_RSI25_SEC70_MC20,CONFIRM,33,1126,0.998890781209272,-0.0002472901640181435,-0.018563484394354846,0.008825410607394502,0.03497924962782804,1,17,16,0,0,0.9849793492164655
C4_RSI25_SEC70_MC35,DISCOVERY,49,1511,0.9968760173452922,-0.000522165819996534,-0.02866080191564413,0.009557249092988577,0.04308506594922402,1,25,24,0,0,1.4493733483589604
C4_RSI25_SEC70_MC35,CONFIRM,22,1126,0.9968880401119367,-0.0006943239736408868,-0.022140725464321442,0.0066689651167612584,0.039532852430401284,1,13,9,0,0,0.7498819481793563
C5_SEC80_MC20,DISCOVERY,242,1511,1.020138394179885,0.003333842027996692,-0.03576512413532984,0.018324406599501335,0.05142226328671275,1,48,194,0,0,2.8075229461840645
C5_SEC80_MC20,CONFIRM,138,1126,0.9741114389230118,-0.005828071361342557,-0.04279927014011031,0.01842920178004652,0.040206485931621926,1,36,102,0,0,2.0629785951920248
C6_SEC70_MC20_UP1,DISCOVERY,181,1511,1.0321782292035955,0.00530089463376493,-0.025728285060518385,0.01578471410650339,0.04694158667676046,1,41,140,0,0,2.414029512876995
C6_SEC70_MC20_UP1,CONFIRM,108,1126,1.0482788227344015,0.010562432914555941,-0.013273193052277366,0.016308222463160132,0.04762255590411489,1,30,78,0,0,1.7910395637251404
C7_SEC70_MC20_NQ_BULL,DISCOVERY,163,1511,0.9991888045731492,-0.0001354585040308498,-0.02304271603883623,0.01588170727202235,0.04308506594922402,1,42,121,0,0,2.437486531001964
C7_SEC70_MC20_NQ_BULL,CONFIRM,89,1126,0.9798202896798971,-0.0045326317216166645,-0.03566361006004981,0.014213629156974947,0.04028373426730794,1,28,61,0,0,1.6052114121646428
MC_LT50,DISCOVERY,1050,1511,0.9839341265657835,-0.0026999990642735394,-0.0287797495962544,0.012408627982505003,0.035102611136481866,1,33,1017,0,0,1.8997251208537353
MC_LT50,CONFIRM,1123,1126,1.0588215070367548,0.012818486623057623,-0.023384979230892,0.019348555655616984,0.05731640308110364,1,37,1086,0,0,2.1904984563338816
MC_20_50,DISCOVERY,427,1511,0.9782852222412439,-0.00365807289857889,-0.0288504784834559,0.011599338775204754,0.035102611136481866,1,31,396,0,0,1.7796450799042576
MC_20_50,CONFIRM,443,1126,1.044765316877226,0.009806652296809215,-0.02338497923089211,0.017152589903857058,0.05731640308110365,1,33,410,0,0,1.9498835529886038
MC_20_35,DISCOVERY,177,1511,1.026658478832555,0.00440147103382138,-0.013313876851598572,0.007762013791624531,0.03866226061527477,1,20,157,0,0,1.1863455834199086
MC_20_35,CONFIRM,294,1126,1.0008626782876868,0.0001921788931280588,-0.025351294438089256,0.010400870839598928,0.038872147058860176,1,20,274,0,0,1.1621104285582124
MC_35_50,DISCOVERY,250,1511,0.9968417873211206,-0.0005278948279565654,-0.015544621336124886,0.009927058795533026,0.037094829170171185,1,26,224,0,0,1.5054953361790655
MC_35_50,CONFIRM,149,1126,1.0379799442098596,0.00834146076597353,-0.020087345506023868,0.014032081072269026,0.057316403081103647,1,27,122,0,0,1.598903143900541
