engine,variant,timing,cost,policy,period,n,cagr,mdd,sharpe,sortino,calmar,daily_pf
LEGACY_GROSS100,EARLY2,SAME_DAY_GROSS,BASE,NATIVE_NO_FILL,2016,252,0.3070837329868583,-0.1560681774671333,1.5072309274295883,2.2831178599526822,1.9676255465437704,1.3186445752557248
LEGACY_GROSS100,EARLY2,SAME_DAY_GROSS,BASE,NATIVE_NO_FILL,2017,251,0.3811940252487105,-0.10794973155724252,1.9183119175747725,2.8266422047891906,3.531217908092478,1.3629923212154598
LEGACY_GROSS100,EARLY2,SAME_DAY_GROSS,BASE,NATIVE_NO_FILL,2018,251,0.2934672952130115,-0.23904234249010903,0.9303392932158925,1.396137024016434,1.2276791306341657,1.2069182668415024
LEGACY_GROSS100,EARLY2,SAME_DAY_GROSS,BASE,NATIVE_NO_FILL,2019,252,0.4195916545122915,-0.12537997227670594,1.7169567892038549,2.741564745799399,3.3465604345985844,1.3693456820699574
LEGACY_GROSS100,EARLY2,SAME_DAY_GROSS,BASE,NATIVE_NO_FILL,2020,253,1.723109562432171,-0.2424983485494867,2.624389979221311,4.570772938322617,7.105654833276259,1.7056624230677915
LEGACY_GROSS100,EARLY2,SAME_DAY_GROSS,BASE,NATIVE_NO_FILL,2021,252,0.42931590976367673,-0.25256062398903956,1.2451423645924726,1.796902504851243,1.6998529025740285,1.2252144733834547
LEGACY_GROSS100,EARLY2,SAME_DAY_GROSS,BASE,NATIVE_NO_FILL,2022,251,-0.0545958038183163,-0.13330318895711513,-0.218881389811589,-0.28771323020352835,-0.4095611233717768,0.9435413424185896
LEGACY_GROSS100,EARLY2,SAME_DAY_GROSS,BASE,NATIVE_NO_FILL,2023,250,0.6049482527716585,-0.14427271484812043,2.1895006261281935,3.3193379920406443,4.193088439546611,1.4892985380282937
LEGACY_GROSS100,EARLY2,SAME_DAY_GROSS,BASE,NATIVE_NO_FILL,2024,252,0.9346389946112585,-0.1847929208399347,2.0763852195854575,3.1540603132886456,5.0577640656528775,1.4374023641662244
LEGACY_GROSS100,EARLY2,SAME_DAY_GROSS,BASE,NATIVE_NO_FILL,2025,250,0.7035439259349547,-0.11713905980708417,1.9965205468789307,3.2172575955160054,6.006057476418356,1.4342257008258827
LEGACY_GROSS100,EARLY2,SAME_DAY_GROSS,BASE,NATIVE_NO_FILL,2026,54,-0.36437432075907106,-0.21695126976686596,-0.9341225279564418,-1.1975115440516078,-1.6795214941614525,0.8456245384926804
LEGACY_GROSS100,EARLY2,SAME_DAY_GROSS,ALL5,NATIVE_NO_FILL,FULL,2568,0.4823694477748228,-0.25325178102815105,1.5214743227883438,2.3281459129588256,1.904703081717729,1.3421001155777363
LEGACY_GROSS100,EARLY2,SAME_DAY_GROSS,ALL5,NATIVE_NO_FILL,2016_2020,1259,0.5462375115304514,-0.24422298225558026,1.6798747292410214,2.6923510533381894,2.236634351466611,1.4022783571951845
LEGACY_GROSS100,EARLY2,SAME_DAY_GROSS,ALL5,NATIVE_NO_FILL,2021_2025,1255,0.47437390239930144,-0.2532517810281516,1.518054600144276,2.2651299943039453,1.8731315549823113,1.3274286988703397
LEGACY_GROSS100,EARLY2,SAME_DAY_GROSS,ALL5,NATIVE_NO_FILL,2022_2025,1003,0.48879415376961144,-0.2013685664166055,1.6164126728498212,2.447087312940678,2.427360746852414,1.369314147828249
LEGACY_GROSS100,EARLY2,SAME_DAY_GROSS,ALL5,NATIVE_NO_FILL,2022_2026_AVAILABLE,1057,0.4246452314628728,-0.21819735746895774,1.4177502143107428,2.1021251766743188,1.9461520358846955,1.3165950761947631
LEGACY_GROSS100,EARLY2,SAME_DAY_GROSS,ALL5,NATIVE_NO_FILL,2016,252,0.29917282349105356,-0.15781021438957243,1.4754494152164752,2.2315054248136446,1.8957760411662041,1.310756245535734
LEGACY_GROSS100,EARLY2,SAME_DAY_GROSS,ALL5,NATIVE_NO_FILL,2017,251,0.3715434663465993,-0.10889401888880446,1.8787664183118136,2.763329468192514,3.411973128900638,1.354503534072314
