strategy,period,n,start,end_date,end,cagr,mdd,vol,sharpe0,calmar,worst_5d,worst_10d,worst_20d
FULL_EXIT_FTD15,BEAR2022,251,2022-01-03,2022-12-30,1.0356894203234726,0.0361163301518814,-0.2429170949865252,0.2976889828236654,0.2663712237248193,0.1486775978194734,-0.1634223924230597,-0.1461272571520593,-0.2155173825390171
STOP_ONLY_FTD15,ALL,2568,2016-01-04,2026-03-20,5.659023821381805,0.185081380503665,-0.6912967816124537,0.3976729800341906,0.6263745887893262,0.2677307133876158,-0.2020690536806454,-0.2702332173462605,-0.3324051433415468
STOP_ONLY_FTD15,DISCOVERY,1511,2016-01-04,2021-12-31,4.381252352595914,0.2796815228176481,-0.5846907252348243,0.3760558204891913,0.843405073513527,0.4783409600097932,-0.2020690536806454,-0.2105512824394223,-0.2949315147305751
STOP_ONLY_FTD15,CONFIRM,1057,2022-01-03,2026-03-20,1.2883526297862442,0.0620572520753952,-0.4219124227406815,0.4267850231971719,0.3542025548753357,0.1470856242446724,-0.1898012466582501,-0.2702332173462605,-0.3324051433415468
STOP_ONLY_FTD15,2018Q4,63,2018-10-01,2018-12-31,0.7195164855598069,-0.7331845019172585,-0.3337064924398937,0.4464317868150698,-2.721323524449151,-2.1970939089514947,-0.1541482084901557,-0.1751402168506889,-0.1666950611444568
STOP_ONLY_FTD15,COVID2020,93,2020-02-19,2020-06-30,1.3969441774648628,1.5217892363656498,-0.3166389967830514,0.5257007697486902,1.9867960667354845,4.8060701676879045,-0.1961874357812919,-0.1900376055307944,-0.2949315147305751
STOP_ONLY_FTD15,BEAR2022,251,2022-01-03,2022-12-30,0.7772406801101355,-0.2250577789332334,-0.3848655955709874,0.4044708767496508,-0.4212777380630264,-0.5847698041165181,-0.1750380032066215,-0.2654588367886823,-0.3324051433415468
STOP_ONLY_FTD20,ALL,2568,2016-01-04,2026-03-20,7.823582766844067,0.2232900197977989,-0.4802148317203489,0.3768190641603068,0.7238928973013481,0.4649794322217663,-0.2097980625964683,-0.2702332173462602,-0.3324051433415466
STOP_ONLY_FTD20,DISCOVERY,1511,2016-01-04,2021-12-31,6.069840631222876,0.3512498634126662,-0.4304605210010913,0.3426679960996123,1.049194602199527,0.8159862432814731,-0.2097980625964683,-0.2113601325510508,-0.3248405164602029
STOP_ONLY_FTD20,CONFIRM,1057,2022-01-03,2026-03-20,1.2803390683356486,0.0604837097166217,-0.4219124227406808,0.4208912318292466,0.3496593937177437,0.1433560768932294,-0.1898012466582499,-0.2702332173462602,-0.3324051433415466
STOP_ONLY_FTD20,2018Q4,63,2018-10-01,2018-12-31,0.7262323380986221,-0.7230473777529727,-0.3274874218923448,0.4196715350577646,-2.833774368838061,-2.2078630488308053,-0.1541482287001281,-0.1751402406814407,-0.1687772825578323
STOP_ONLY_FTD20,COVID2020,93,2020-02-19,2020-06-30,1.338593923062327,1.2409693989860298,-0.3456271672291686,0.5364669635269537,1.7417655699062535,3.5904856928194047,-0.2097980625964683,-0.2113601325510508,-0.3248405164602029
STOP_ONLY_FTD20,BEAR2022,251,2022-01-03,2022-12-30,0.8601968993216564,-0.1413241238702007,-0.3848655955709872,0.3956195434887592,-0.1827086765508432,-0.3672038381620786,-0.1750380032066216,-0.2654588367886823,-0.3324051433415466
STOP_ONLY_NQ_AND_FTD15,ALL,2568,2016-01-04,2026-03-20,5.720523805146786,0.1863370281328706,-0.7006962873581285,0.3866981631586815,0.635932425956403,0.2659312336810386,-0.2064182839159138,-0.2644328195843135,-0.3215992301458439
STOP_ONLY_NQ_AND_FTD15,DISCOVERY,1511,2016-01-04,2021-12-31,3.755305130648264,0.2471693781612614,-0.5722041064630459,0.3630549510688152,0.7895306949738402,0.4319601613645953,-0.2064182839159138,-0.224964990036293,-0.3112335374678957
STOP_ONLY_NQ_AND_FTD15,CONFIRM,1057,2022-01-03,2026-03-20,1.5083226736802675,0.1025954440348519,-0.4309327921491479,0.4183082253727005,0.4430242630578674,0.2380775979548644,-0.1837106583226345,-0.2644328195843135,-0.3215992301458439
STOP_ONLY_NQ_AND_FTD15,2018Q4,63,2018-10-01,2018-12-31,0.7530331873998981,-0.6796870437668091,-0.2967131079097571,0.4326854512736421,-2.402691910200975,-2.290721325238959,-0.1403242001218316,-0.1730099141701225,-0.1577852181249595
STOP_ONLY_NQ_AND_FTD15,COVID2020,93,2020-02-19,2020-06-30,1.3700120847706627,1.3895430309980257,-0.3324391166933664,0.5178902152163667,1.9061766305428256,4.179842146192758,-0.2064182839159138,-0.2084937374516415,-0.3112335374678957
STOP_ONLY_NQ_AND_FTD15,BEAR2022,251,2022-01-03,2022-12-30,0.7518767671854071,-0.250638922929625,-0.3960597196823476,0.3958283075721051,-0.5234946792160557,-0.6328311375129116,-0.1830129900024958,-0.2577488530061663,-0.3194661507335452
