period,method,dimension,bucket,n,mean20,median20,win20,pf20,mae20,p10_20
DISCOVERY,M10_RSI60_DD075,mc_bucket,20_50_UP,1584,0.029671555261521296,0.022012502896902486,0.5978535353535354,1.862795314046691,-0.0831713938286528,-0.11967437184589179
DISCOVERY,M10_RSI60_DD075,mc_bucket,GE50_OTHER,1853,0.017658474898868876,-0.001,0.49217485159201296,1.3395085831217215,-0.10982561439098389,-0.15946860389628412
DISCOVERY,M10_RSI60_DD075,mc_bucket,GE50_UP,3659,0.015522264029608226,0.000917497939039503,0.5031429352282044,1.313829470713076,-0.10175261260336574,-0.1553520726481528
DISCOVERY,M10_RSI60_DD075,mc_bucket,LT20,675,-0.007049377880177107,-0.005109584043849535,0.47703703703703704,0.8655366176343607,-0.1209212343069929,-0.1800151067220968
DISCOVERY,M10_RSI60_DD075,sector_bucket,50_60,1467,0.02138417364968558,0.004719360788972727,0.5180640763462849,1.4308276507152669,-0.10320968554524482,-0.15514163097694086
DISCOVERY,M10_RSI60_DD075,sector_bucket,60_70,1562,0.01880112806948484,0.008002902564539949,0.529449423815621,1.425832489307611,-0.09581094326588127,-0.14487615026508935
DISCOVERY,M10_RSI60_DD075,sector_bucket,70_80,1540,0.025379357403545244,0.012342781491159638,0.5564935064935065,1.6317717027675616,-0.09491101837974522,-0.13330807181501547
DISCOVERY,M10_RSI60_DD075,sector_bucket,GE80,4351,0.01893085316980416,0.007358976638839,0.5251666283612962,1.4094088346549547,-0.10080948342350148,-0.14901447243820953
DISCOVERY,M10_RSI60_DD075,rs189_bucket,85_90,2636,0.017380239501802557,0.01174896391300051,0.5584218512898331,1.5310114790987763,-0.07656248564409802,-0.10489724503722919
DISCOVERY,M10_RSI60_DD075,rs189_bucket,90_95,2716,0.016007388074071798,0.007643031353653852,0.5338733431516937,1.3972091338092099,-0.09020375398153095,-0.12622826233013767
DISCOVERY,M10_RSI60_DD075,rs189_bucket,GE95,3171,0.030391173525129277,0.005666660308837891,0.5130873541469568,1.5449815420861768,-0.12009335139398376,-0.17684743862075425
DISCOVERY,M10_RSI65_DD075,mc_bucket,20_50_NOTUP,1421,0.0424431239046697,0.03102105882816064,0.6228008444757214,2.32392574270943,-0.08115112327050507,-0.11065260852713432
DISCOVERY,M10_RSI65_DD075,mc_bucket,20_50_UP,1695,0.027421669516155364,0.01886802421366529,0.5882005899705015,1.7636374440522355,-0.08440673094757274,-0.1167731740952058
DISCOVERY,M10_RSI65_DD075,mc_bucket,GE50_OTHER,2721,0.015321095093319151,-0.001,0.4954061006982727,1.2957925423099916,-0.10798658126733657,-0.1612244701875718
DISCOVERY,M10_RSI65_DD075,mc_bucket,GE50_UP,4661,0.014033730974986773,0.0008484711948041354,0.5031109204033469,1.297900459505216,-0.09877707803635065,-0.14849257714617647
DISCOVERY,M10_RSI65_DD075,mc_bucket,LT20,764,-0.009453693386786323,-0.005101848100751038,0.4790575916230366,0.813261474573355,-0.1174994304236739,-0.17294364219468836
DISCOVERY,M10_RSI65_DD075,sector_bucket,50_60,1965,0.01732081058335532,0.0059605066541733595,0.5236641221374045,1.3591094527857437,-0.09993457866539203,-0.15297256415381272
DISCOVERY,M10_RSI65_DD075,sector_bucket,60_70,1901,0.016424073796164056,0.005493231225831453,0.5181483429773803,1.3700151242150111,-0.0960980684342363,-0.14487889558265388
DISCOVERY,M10_RSI65_DD075,sector_bucket,70_80,1872,0.027782427904727822,0.012218288337443983,0.5592948717948718,1.705879771139012,-0.09226433159576866,-0.13102154504947944
DISCOVERY,M10_RSI65_DD075,sector_bucket,GE80,5524,0.016184367279832988,0.005932374109790307,0.5213613323678494,1.3536839695176575,-0.09967658660478024,-0.1444985043004982
