period,cohort,method,n,signal_dates,symbols,sectors,signals_per_year,mean5,mean10,mean20,median20,win20,pf20,mae20,mfe20,p10_20,p90_20,date_ci95,block20_ci95,symbol_ci95,sector_ci95
DISCOVERY,MATURE,M10_RSI65_DD075,10783,1464,2164,20,1800.0045143967095,0.0041216254288596885,0.011371009115124368,0.01956127193478235,0.008159061757934682,0.5306500973754985,1.452920902709909,-0.0956753141725671,0.12745969140949173,-0.13843101539191463,0.17416790176256483,"[0.016636890512148346, 0.028694564584256656]","[0.007408432107312139, 0.03239998182528628]","[-0.0011427332810738122, 0.006235720828462231]","[0.011525055090992567, 0.02281243773805752]"
DISCOVERY,MATURE,M5_RSI65_DD075,11226,1476,2185,20,1873.954435557587,0.0038800483777640367,0.010319799574023115,0.020123963452832235,0.008092600736244626,0.5318011758417959,1.463422410695626,-0.09550119837352898,0.1282006362881965,-0.13856703198674292,0.17458522353218175,"[0.01769533690322132, 0.029343069509636506]","[0.006436882864309847, 0.03294634384539405]","[-0.00108879368523496, 0.0060304667243425225]","[0.011840860411408827, 0.02433530645499396]"
CONFIRM,ALL,M10_RSI55_DD075,5181,1009,2029,20,1154.5585067114093,0.0011365686610936103,0.005204251003688663,0.015628045004342728,-7.576440259804331e-05,0.49990349353406677,1.259069489534726,-0.12011317140679696,0.15295131693100644,-0.18979857744816464,0.21084661514743142,"[0.0028867882609990244, 0.019633455840770222]","[-0.0048493578350479564, 0.031558965912299]","[-0.005414608851523828, 0.006537708574606379]","[0.0024101224054599905, 0.022102858964394668]"
CONFIRM,ALL,M10_RSI60_DD075,8511,1092,2395,20,1896.631432275778,0.0008487110086229034,0.006371835853271732,0.01613653183322832,-0.00023268724243774488,0.49935377746445775,1.2785711872987395,-0.11626699905171907,0.14892408259758141,-0.18202998025197648,0.2051994656510593,"[0.010404404790790717, 0.023750398051974434]","[-0.00012184887844140844, 0.028992040177947435]","[-0.005676710873614302, 0.003867123594294425]","[0.008015422947940798, 0.020869567305360735]"
CONFIRM,ALL,M10_RSI65_DD075,10583,1105,2524,20,2358.365697071385,0.0016355029849164807,0.006944734623756629,0.01611731946823048,0.0006293030406695497,0.5018425777189833,1.2831408351426898,-0.11431240701243207,0.14801326939045112,-0.17658564126655213,0.2048621226883742,"[0.009570310102989527, 0.0216173536617369]","[-0.00044740544852798765, 0.028163311840236533]","[-0.00700116831080094, 0.0014289636456952966]","[0.008888116941852358, 0.020809744384298126]"
CONFIRM,ALL,M5_RSI65_DD075,11046,1112,2551,20,2461.542803538743,0.0013897925277177215,0.005856071149427988,0.016034372304195306,-0.00015186272087996857,0.4995473474560927,1.283210089172969,-0.11419850945751928,0.14707831473678454,-0.17649629979481618,0.20535409209946842,"[0.009783515352513412, 0.022561576704287108]","[-0.00014964229173700298, 0.02849231917034231]","[-0.007117004375376496, 0.0012238661608528361]","[0.009014633006680211, 0.020969671900574968]"
CONFIRM,YOUNG,M10_RSI55_DD075,127,119,105,18,28.45754447852761,-0.004770044092771879,-0.006494997191275184,0.03424293307396426,-0.015401300736531454,0.48031496062992124,1.3850336920095723,-0.16179373687924625,0.26851303771822227,-0.27374615257682633,0.25525881878620266,"[-0.040567089886310685, 0.058370621593946716]","[-0.046820946839788345, 0.09030984810131189]","[-0.05397572920625775, 0.1600179913296784]","[-0.036019279087296976, 0.059429189327285754]"
CONFIRM,YOUNG,M10_RSI60_DD075,225,195,157,18,50.14006253813301,-0.006643115628764654,-0.006117491684715171,0.02761518958039616,-0.00711206453353641,0.49777777777777776,1.3142101680417018,-0.15988423735237103,0.24460393895072982,-0.32185251759957656,0.2938498014785094,"[-0.02464965751385777, 0.05851026668430094]","[-0.03775717720946421, 0.05509655449114631]","[-0.048954315863474325, 0.0923265924829303]","[-0.026846692857175333, 0.04768105617863456]"
CONFIRM,YOUNG,M10_RSI65_DD075,272,232,176,18,60.87375,0.0023289025066150983,0.000683937801656788,0.03378308731595899,0.0014444945641655113,0.5036764705882353,1.4281919558441305,-0.14812097878846342,0.23893414976648336,-0.27290492728583365,0.2794782982039647,"[-0.009279286456983005, 0.05886811988450093]","[-0.02484356451071035, 0.05810373620531074]","[-0.03670804023562568, 0.09621477789551683]","[-0.013647819326603186, 0.05151700771462676]"
CONFIRM,YOUNG,M5_RSI65_DD075,280,235,179,18,62.66415441176471,0.0016368562179528178,0.0030975200855563345,0.030470744825194095,0.00801930327391609,0.5142857142857142,1.3841095228771259,-0.1468159367275228,0.2334527844484549,-0.2679149991326662,0.23270735557953817,"[-0.010763426365616743, 0.05705324919148913]","[-0.02217005472719028, 0.05465025944145013]","[-0.03311732071622843, 0.09793516664162658]","[-0.016630923217986506, 0.05595257169371274]"
CONFIRM,MATURE,M10_RSI55_DD075,5054,1004,1973,20,1126.2572269676632,0.0012849936353201469,0.005498236860586251,0.015160278723210564,0.00013592855386956957,0.500395726157499,1.254346612696269,-0.1190657966907303,0.1500474114027167,-0.1883656094398967,0.21028878005024096,"[0.0025138454097715117, 0.019562500693010635]","[-0.004837732066683232, 0.031812470678576815]","[-0.005732293091827293, 0.0059088922040102946]","[0.0024813631044164055, 0.02224781967845329]"
