date,current_15_55_20_10,cont_30_40_15_15,cont_35_30_20_15,cont_30_35_20_15,cont_30_30_20_20,cont_25_40_20_15,vote_t70_dd8_dir1_r630,vote_t70_dd10_dir1_r631,vote_t70_dd10_dir1_r630,QQQ
2024-08-22,80.31251514659652,82.97576602477145,84.65063048047318,83.83424051835591,84.90679600376349,83.01785055623864,89.07019125471618,89.90278219279445,89.07023655433377,469.92181396484375
2024-08-23,83.14205050341097,86.25549524058039,87.94621885824975,86.97578640174153,87.89822493054743,86.00535394523331,90.80117486268315,91.50605560272635,90.8011899625557,475.0183410644531
2024-08-26,83.21393265938616,86.38646979399817,88.07854461380492,87.09287577027749,88.01481235058651,86.10720692675005,91.37816939867216,92.04048007270364,91.378174431963,470.4067077636719
2024-08-27,83.59715263730382,86.66489228823508,88.2813653202021,87.33211599749991,88.21933138958946,86.38286667479773,91.57050091066849,92.21862156269609,91.5705025884321,471.81195068359375
2024-08-28,78.99846165351204,80.43573008934436,81.72242901245794,81.31253614058078,82.39693201201803,80.90264326870363,74.9679447480006,76.89338667474485,74.96794530725515,466.45806884765625
2024-08-29,78.64675152760167,80.71666592203735,82.28148728024692,81.66396406706228,82.82860696696898,81.04644085387764,74.98931491600021,76.9131801736329,74.98931510241839,465.7752685546875
2024-08-30,81.08599630044634,82.04951574505623,82.98510995761318,82.7347683253844,83.63251545363613,82.48442669315561,80.55199386088896,82.04798313480072,80.55199392302836,471.3270568847656
2024-09-03,76.23608267726091,72.7573659625051,72.16197059901398,73.38247961722729,74.1904036118336,74.6029886354406,65.73955350918521,68.37496873724126,65.73955352989834,457.01708984375
2024-09-04,74.83437441457119,69.26935102493677,67.7858339958045,69.71389648560175,70.37760602602407,71.64195897539899,60.80207339195063,63.817297271388114,60.802073398855,455.8295593261719
2024-09-05,72.02416582385108,64.99811288023761,63.10041556525188,65.48848746140203,66.11702478740344,67.87655935755217,59.15624668620576,62.29807344943706,59.156246688507224,456.255126953125
2024-09-06,66.46886444659387,58.371140273600034,56.298198519895465,59.00976681748985,59.68537408116899,61.72133511508423,58.60763778429081,56.66346038058158,58.60763778505796,444.0333251953125
2024-09-09,66.03684833086973,58.491670700908,56.69763876953846,59.247454464696176,60.10750768399581,61.79727015985391,58.42476815031915,54.78525602429643,58.42476815057488,449.7433776855469
2024-09-10,66.3043417096408,58.83768991212361,57.06930188337304,59.594268506787,60.45909517417512,62.11923513020098,63.919367161217494,59.28739303373983,63.91936716130273,453.8998107910156
2024-09-11,69.97924360477359,64.06658950621284,62.69486672895254,64.71989769096595,65.53564466319855,66.74492865297935,65.75090016485026,65.9163104984261,65.75090016487869,463.7564392089844
2024-09-12,75.27083293326851,72.94618941945222,72.6691182467852,73.53317177733288,74.38767121304032,74.39722530788057,77.47252227717232,78.38235990973178,77.47252227718178,468.3087158203125
2024-09-13,80.99701165115685,81.32947475597904,81.72243616082514,81.71657072712443,82.41853350198988,81.71070529342373,92.49084075905743,92.79411996991058,92.49084075906059,470.4067077636719
2024-09-16,83.0272867120018,85.20908838667316,86.23023405136372,85.60855387873846,86.32478052759933,84.98687370611319,97.4969469196858,97.59803998997019,97.49694691968685,468.3284912109375
2024-09-17,84.23729422386592,86.50050420969913,87.49251348289003,86.85495567001719,87.55994367754994,86.21739785714435,99.1656489732286,99.19934666332338,99.16564897322894,468.57586669921875
2024-09-18,83.14100884903277,85.54553844027008,86.65768967948186,85.98140778226163,86.79296102382979,85.30512588504139,99.7218829910762,99.73311555444113,99.72188299107631,466.54718017578125
2024-09-19,85.97019318536783,87.89733436224492,88.73774841167915,88.2019254897101,88.8261890281453,87.66610256774108,99.90729433035872,99.91103851814704,99.90729433035877,478.3434143066406
2024-09-20,84.95151220657041,86.92672088169108,87.90054576685601,87.34247684673838,88.05923472655348,86.78440792662076,99.96909811011957,99.97034617271567,99.96909811011957,477.4329833984375
2024-09-23,86.87693504528778,88.18937834103508,88.77114151824493,88.43191989167374,88.96923985834611,88.09269826510254,99.98969937003986,99.99011539090522,99.98969937003986,478.6985168457031
2024-09-24,86.12051033496124,87.27246954802179,87.88701350271464,87.5928790211303,88.18284426254635,87.29874453954596,99.99656645667994,99.99670513030173,99.99656645667994,481.007568359375
2024-09-25,82.85805731704096,82.68526762711838,82.90234905758277,83.06845967371011,83.77719387876125,83.23457028983744,88.88774437444889,89.74249145369032,88.88774437444889,481.4535217285156
2024-09-26,83.24548880265002,82.15912540432565,81.98626281717404,82.4451262885431,83.02135418854331,82.90398975991215,85.18480368037186,86.32442022815319,85.18480368037186,485.0707092285156
2024-09-27,84.70405182310557,84.07953590918599,84.00218300415341,84.31537879651773,84.86629314702286,84.62857458888206,89.50604567123506,90.31326828117926,89.50604567123506,482.37518310546875
2024-09-30,85.866796735648,85.84593537040206,85.89862329094676,86.01644781432746,86.51957246314903,86.13427233770817,96.50201522374502,96.77108942705975,96.50201522374502,483.68328857421875
2024-10-01,82.6078295516133,80.26318636925859,79.71853660764444,80.59298260477581,81.20147364933251,81.46742860190722,87.72289396347057,88.66728621927632,87.72289396347057,476.94439697265625
2024-10-02,82.92096001888794,79.7780276113017,78.91865081085342,80.06091844401618,80.62767976863272,81.20318607717896,84.79652021004574,85.96601848334852,84.79652021004574,477.61834716796875
2024-10-03,80.50399845747442,74.78566829467633,73.07646104469525,75.06542399312323,75.59373837405602,77.05438694155123,83.82106229223747,85.06559590470592,83.82106229223747,477.2615661621094
2024-10-04,84.53542372824904,80.94065626657562,79.83910934935409,81.12092415932392,81.55186902030823,82.40273896929374,89.0514652085236,89.89366017336351,89.0514652085236,482.9400329589844
2024-10-07,82.19876077136922,76.2581438397003,74.38844329602487,76.4493568746568,76.88269371384013,78.51027045328871,85.2393772917301,86.37480980137758,85.2393772917301,477.7669677734375
2024-10-08,81.8112030854059,76.58552185229067,74.99978132314185,76.82760549020546,77.32748039619587,78.65542965726908,78.41312576391003,80.07365454917715,78.41312576391003,484.9022521972656
2024-10-09,84.27124277931038,80.92854937163898,79.95363081141765,81.14203011289676,81.57801535092051,82.3304294143759,81.69326414352557,83.10147459331546,81.69326414352557,488.71759033203125
2024-10-10,83.49517015202602,80.47327908347563,79.69176863186425,80.76931306793529,81.27608929205769,81.84685750400634,82.78664360339741,84.11074794136157,82.78664360339741,488.1626892089844
2024-10-11,85.89544392272921,83.91226306149524,83.37638078974601,84.1140976219717,84.54590181789128,84.85181445419741,94.2622145344658,94.70358264712051,94.2622145344658,488.92572021484375
2024-10-14,88.30879275538784,87.82407926965666,87.74106071218246,87.98142479654948,88.37514909081224,88.22178888091653,98.08740484482192,98.23452754904017,98.08740484482192,493.028564453125
2024-10-15,88.2664831070148,88.06353989123237,88.10747197701257,88.24999513420337,88.66107663296435,88.3925182913942,99.3624682816073,99.41150918301338,99.3624682816073,486.4383239746094
