date,qqq,breadth_core,breadth_delta20,baseline_15552010,det20_20pct,det20_30pct,det20_40pct,det1020_30pct
2026-02-02,624.6650390625,84.95896464646465,10.206755050505052,86.03107899296887,84.3081741251416,83.44672169122799,82.58526925731437,80.79292603221975
2026-02-03,615.0676879882812,82.12436868686869,2.250631313131322,84.85337313233643,81.92131688009772,80.45528875397835,78.98926062785901,79.81070756208672
2026-02-04,604.322998046875,75.47032828282829,-11.587752525252512,84.02309407441518,78.44724661996524,75.65932289274028,72.8713991655153,75.6225006898875
2026-02-05,595.6235961914062,63.57954545454545,-18.308080808080817,79.41628388339093,72.29026065783353,68.72724904505483,65.16423743227614,68.24969719965947
2026-02-06,608.2138671875,79.96054292929293,-6.762941919191931,83.58552055372292,77.49993642298155,74.45714435761087,71.41435229224018,74.0078128397013
2026-02-09,612.8728637695312,80.93907828282828,-10.203598484848499,86.02240415763829,79.55099416961338,76.31528917560094,73.07958418158847,76.08697467657552
2026-02-10,610.029541015625,74.70170454545455,-17.34375,85.67118859126663,77.92140146562872,74.04650790280974,70.17161433999077,74.21209143785683
2026-02-11,611.6657104492188,74.7885101010101,-14.763257575757564,84.97688609607877,77.43934131345873,73.67056892214869,69.90179653083868,74.05920527410885
2026-02-12,599.22509765625,66.25315656565655,-25.26041666666667,81.9614872845515,73.79128717182631,69.7061871154637,65.62108705910111,69.83573256611709
2026-02-13,600.5020141601562,68.03503787878788,-24.906881313131322,80.2233998019212,71.8219442087906,67.62121641222528,63.42048861565996,67.69935916660974
2026-02-17,599.8834838867188,68.66003787878788,-23.52430555555557,79.90939926057308,71.34567332212211,67.06381035289664,62.78194738367117,67.08985793769146
2026-02-18,604.3629760742188,70.60448232323233,-6.775568181818173,81.00359604982066,74.74544434811479,71.61636849726185,68.48729264640892,71.1684104005268
2026-02-19,602.04833984375,72.16698232323233,-13.04135101010101,81.68726770684259,74.80141389886656,71.35848699487853,67.91556009089051,72.1464506154113
2026-02-20,607.3757934570312,74.75378787878788,-16.26262626262627,84.56844108746606,76.88723055888146,73.04662529458915,69.20602003029683,75.95007844587784
2026-02-23,599.9932250976562,61.29892676767677,-28.439078282828284,79.1435207665291,71.06941355329718,67.03235994668124,62.99530634006527,68.00017766377746
2026-02-24,606.4380493164062,68.67739898989899,-23.28125,82.00440591207536,73.37942572988695,69.06693563879274,64.75444554769854,69.54783147504703
2026-02-25,615.227294921875,77.35795454545455,-12.17645202020202,84.71561005149987,77.16169304632595,73.384734543739,69.60777604115205,74.9726807252682
2026-02-26,607.8048095703125,71.83712121212122,-14.250315656565647,84.65027910807572,77.21715631005478,73.50059491104432,69.78403351203386,75.11743200627627
2026-02-27,605.8594360351562,61.2405303030303,-26.066919191919197,79.0204634063956,71.20284839964789,67.29404089627404,63.385233392900176,68.19105951135136
2026-03-02,606.6575317382812,61.18844696969696,-17.370580808080824,77.73783965398374,70.42754668877151,66.77240020616543,63.117253723559315,68.08434043896898
2026-03-03,600.162841796875,48.23863636363636,-36.72032828282829,70.2044903223717,63.040874148782436,59.4590660619878,55.877257975193174,59.89637947292232
2026-03-04,609.3112182617188,54.829545454545446,-27.294823232323246,70.58074761587474,63.1286162987524,59.40255064019122,55.676484981630054,59.54832177716939
2026-03-05,607.4755859375,41.57986111111111,-33.890467171717184,66.24647821831208,59.31697148297499,55.85221811530645,52.38746474763792,55.90080849429917
2026-03-06,598.337158203125,31.70296717171717,-31.876578282828284,59.14069849539975,53.16206662065775,50.17275068328675,47.18343474591576,50.188947476284326
