date,qqq,breadth_core,baseline,combo1p0_raw,combo1p0_ema3,combo1p25_raw,combo1p25_ema3,combo1p25_ema5
2026-02-09,612.8728637695312,80.93907828282828,86.02240415763829,79.02466303309163,78.24227280647267,77.49928253590556,76.29723996868127,76.7944442868834
2026-02-10,610.029541015625,74.70170454545455,85.67118859126663,77.27524016086218,77.5831487004816,75.2509379812446,75.56113872778535,76.02090349809487
2026-02-11,611.6657104492188,74.7885101010101,84.97688609607877,76.77864171186988,76.8337439585818,74.75397559181218,74.79795842420758,75.12742754054389
2026-02-12,599.22509765625,66.25315656565655,81.9614872845515,70.47584563796335,72.14709539250896,67.6127335516478,69.69349741949831,70.60949756144986
2026-02-13,600.5020141601562,68.03503787878788,80.2233998019212,70.03808175305848,70.22354483146857,67.49451834928664,67.72358108885541,68.41152413282731
2026-02-17,599.8834838867188,68.66003787878788,79.90939926057308,69.25474463317437,69.5821444616474,66.59200301247265,67.00033076191599,67.59537605309434
2026-02-18,604.3629760742188,70.60448232323233,81.00359604982066,71.4251347851322,71.05073801801359,69.03082681434275,68.56252351006182,68.80322171788131
2026-02-19,602.04833984375,72.16698232323233,81.68726770684259,74.26036163713161,72.99738565608357,72.40373756816476,70.82491514339381,70.45914062317011
2026-02-20,607.3757934570312,74.75378787878788,84.56844108746606,78.93858119385868,77.40857011528286,77.53115036994382,75.61860237223708,74.73724807601468
2026-02-23,599.9932250976562,61.29892676767677,79.1435207665291,68.22465543162292,70.10415261298441,65.79775719402168,67.84431057459825,68.03986486935061
2026-02-24,606.4380493164062,68.67739898989899,82.00440591207536,72.29302487451403,72.62903131652236,69.9661189804988,70.28518766763412,70.55555988163916
2026-02-25,615.227294921875,77.35795454545455,84.71561005149987,79.65440896490534,77.49732221042612,78.42275514838177,75.69275025015769,74.97421224512803
2026-02-26,607.8048095703125,71.83712121212122,84.65027910807572,79.58589726439607,78.50894426569901,78.33101728851784,76.97361055510484,76.04585480229464
2026-02-27,605.8594360351562,61.2405303030303,79.0204634063956,72.06497501405795,72.47205178903843,70.32984141098743,70.83494888469913,70.38606037240086
2026-03-02,606.6575317382812,61.18844696969696,77.83884975499382,69.90721705014053,70.5988275938886,67.92555503893185,68.78882205361228,68.77773410530847
2026-03-03,600.162841796875,48.23863636363636,70.23816035604172,57.63797491738691,60.31805655616169,55.933728784021056,57.83803060619168,58.94733932347863
2026-03-04,609.3112182617188,54.829545454545446,70.59197096043141,58.71308970310203,59.69247843182671,56.22530279753563,56.96760529967554,58.11522308150211
2026-03-05,607.4755859375,41.57986111111111,66.25021980563052,51.29059271985406,52.40891231325476,50.461330417998596,50.70876458537857,51.091303845987426
2026-03-06,598.337158203125,31.70296717171717,59.1419449944879,43.155402632562414,43.52817583036265,42.87898186527726,42.961459921070585,43.088973007940204
