date,baseline_mc,candidate_mc,candidate_penalty,breadth_core,QQQ,SPY,IWM
2012-11-23,50.231135079237106,39.992617448631435,20.0654700562841,35.27777777777777,57.71680450439453,111.4619369506836,66.98406219482422
2012-11-26,53.632574994177475,45.64787327597164,12.468715930919828,36.09375,57.9658203125,111.22538757324219,67.20045471191406
2012-11-27,53.112170889523284,47.08647505815641,9.174896159904355,34.47916666666667,57.77015686035156,110.6575927734375,67.11724090576172
2012-11-28,57.056605571576476,53.36597599847172,4.5874480799521775,45.364583333333336,58.26818084716797,111.54866790771484,67.68325805664062
2012-11-29,61.147415182341334,59.07617317664851,2.2937240399760888,52.13541666666667,58.61503601074219,112.06909942626953,68.4573974609375
2012-11-30,61.134820550143885,60.02389047425066,1.1468620199880444,53.229166666666664,58.5172004699707,112.0927505493164,68.32421112060547
2012-12-03,56.39685083688234,54.20694394356828,4.962536912771799,39.18402777777778,58.401588439941406,111.54077911376953,68.24929809570312
2012-12-04,57.1656796124784,55.004717190884065,3.902709428608118,48.680555555555564,58.36600875854492,111.38306427001953,68.33253479003906
2012-12-05,55.6252631816936,53.282327590361774,4.425313047637392,45.3125,57.71680450439453,111.5802230834961,68.24929809570312
2012-12-06,53.16355901745089,50.041506023180844,6.384748537707584,39.87847222222222,58.09031677246094,111.9587173461914,68.35749053955078
2012-12-07,57.00260572772856,54.79138416439215,3.192374268853792,60.03472222222222,57.74349594116211,112.29779815673828,68.40746307373047
2012-12-10,59.63913725605887,58.31679478565687,1.596187134426896,64.44444444444444,57.91243362426758,112.34510803222656,68.70712280273438
2012-12-11,65.82364348311803,65.09022835167242,0.798093567213448,71.26736111111111,58.66838455200195,113.11001586914062,69.43135833740234
2012-12-12,69.0884170702549,68.6976282057839,0.399046783606724,75.08680555555556,58.54386901855469,113.16521453857422,69.04012298583984
2012-12-13,67.23859803880093,66.93173321994567,0.48164144735892006,74.18402777777777,58.081424713134766,112.47128295898438,68.59891510009766
2012-12-14,62.553782192708766,61.794254909037505,1.7924700292350182,70.12152777777777,57.53004837036133,112.05333709716797,68.55728912353516
2012-12-17,69.08546200652165,68.50366673993815,0.8962350146175091,84.8611111111111,58.29485321044922,113.37024688720703,69.52289581298828
2012-12-18,74.30533918735908,73.94709767915137,0.44811750730875455,88.8888888888889,59.184207916259766,114.63195037841797,70.47181701660156
2012-12-19,75.88876757768315,75.68719886527397,0.22405875365437727,91.66666666666666,58.92628860473633,113.7802963256836,70.62884521484375
2012-12-20,78.04764474811662,77.93937773914358,0.11202937682718864,93.54166666666666,58.92628860473633,114.43478393554688,70.98149108886719
2012-12-21,77.62971644224662,77.49351696091136,0.27302857730247826,92.84722222222223,58.30655288696289,113.39604949951172,70.68761444091797
2012-12-24,73.23410599754483,72.45433380163134,2.002833733095681,87.56944444444444,58.190303802490234,113.04664611816406,70.34339904785156
2012-12-26,66.40385317863786,63.5964767252288,6.947597422103394,74.51388888888889,57.68054962158203,112.57013702392578,69.83960723876953
2012-12-27,64.3723881258064,59.92093546348812,9.588165030496139,74.53125,57.59114074707031,112.41923522949219,69.78924560546875
2012-12-28,59.692426317663845,50.79123713065199,20.22919536247029,59.166666666666664,57.03667449951172,111.20421600341797,69.2938461303711
2012-12-31,66.56669121150651,58.91220969382744,12.783868514568475,85.0,58.243953704833984,113.0942611694336,70.79674530029297
2013-01-02,80.0060267001318,75.11082363323457,6.3919342572842375,99.02777777777779,60.09506607055664,115.9928970336914,72.87903594970703
2013-01-03,84.22562001115506,81.35041645835386,3.3912796286421187,98.40277777777779,59.78207778930664,115.73078155517578,72.71107482910156
2013-01-04,86.97150296668133,85.35953848012618,1.7824453698766174,98.75,59.5853385925293,116.23908233642578,73.24844360351562
2013-01-07,87.3090195074123,86.3892161292684,1.0431324071605275,98.54166666666669,59.60323715209961,115.92141723632812,72.97135925292969
